CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
A46,Alex Mumbru,Forward,2.02,12/06/1979,Spain,http://www.acb.com/jugador.php?id=A46
A56,Albert Oliver,Guard,1.87,04/06/1978,Spain,http://www.acb.com/jugador.php?id=A56
A62,J.C. Navarro,Guard,1.92,13/06/1980,Spain,http://www.acb.com/jugador.php?id=A62
A1M,Felipe Reyes,Center,2.04,16/03/1980,Spain,http://www.acb.com/jugador.php?id=A1M
A3W,Rafa Martinez,Guard,1.90,03/03/1982,Spain,http://www.acb.com/jugador.php?id=A3W
A4B,Sergi Vidal,Guard,1.99,09/04/1981,Spain,http://www.acb.com/jugador.php?id=A4B
A8T,San Emeterio,Forward,1.99,01/01/1984,Spain,http://www.acb.com/jugador.php?id=A8T
A9S,Fran Vazquez,Center,2.09,01/05/1983,Spain,http://www.acb.com/jugador.php?id=A9S
B0X,Rudy Fernandez,Forward,1.96,04/04/1985,Spain,http://www.acb.com/jugador.php?id=B0X
B2J,Albert Sabat,Guard,1.80,23/08/1985,Spain,http://www.acb.com/jugador.php?id=B2J
B3M,Sitapha Savane,Center,2.02,20/08/1978,Spain,http://www.acb.com/jugador.php?id=B3M
B4P,Marko Popovic,Guard,1.82,12/06/1982,Croatia,http://www.acb.com/jugador.php?id=B4P
B3K,Fede Van Lacke,Guard,1.91,26/06/1980,Spain,http://www.acb.com/jugador.php?id=B3K
B4R,Pedro Llompart,Guard,1.87,09/01/1982,Spain,http://www.acb.com/jugador.php?id=B4R
B1R,Javier Salgado,Guard,1.80,06/08/1980,Spain,http://www.acb.com/jugador.php?id=B1R
B86,R. San Miguel,Guard,1.86,21/01/1985,Spain,http://www.acb.com/jugador.php?id=B86
B72,M. Huertas,Guard,1.91,25/05/1983,Italy,http://www.acb.com/jugador.php?id=B72
BA3,Alex Urtasun,Guard,1.93,30/04/1984,Spain,http://www.acb.com/jugador.php?id=BA3
B79,Carlos Suarez,Center,2.03,23/05/1986,Spain,http://www.acb.com/jugador.php?id=B79
B6Q,Axel Hervelle,Center,2.05,12/05/1983,Belgium,http://www.acb.com/jugador.php?id=B6Q
B8T,Saul Blanco,Forward,1.96,16/05/1985,Spain,http://www.acb.com/jugador.php?id=B8T
B9K,Txemi Urtasun,Guard,1.92,30/04/1984,Spain,http://www.acb.com/jugador.php?id=B9K
B8L,David Navarro,Guard,1.86,17/05/1983,Spain,http://www.acb.com/jugador.php?id=B8L
BA0,Henk Norel,Center,2.12,17/09/1987,Netherlands,http://www.acb.com/jugador.php?id=BA0
AF1,Pau Ribas,Guard,1.94,02/03/1987,Spain,http://www.acb.com/jugador.php?id=AF1
B44,A. Sanchez,Guard,1.94,14/02/1987,Spain,http://www.acb.com/jugador.php?id=B44
BA6,Javier Vega,Center,2.05,05/01/1988,Spain,http://www.acb.com/jugador.php?id=BA6
BBE,K. Vasileiadis,Forward,2.00,15/03/1984,Greece,http://www.acb.com/jugador.php?id=BBE
BCC,J. Triguero,Center,2.08,23/12/1983,Spain,http://www.acb.com/jugador.php?id=BCC
Y49,Pablo Aguilar,Center,2.02,09/02/1989,Spain,http://www.acb.com/jugador.php?id=Y49
BB2,Javier Beiran,Forward,2.00,22/05/1987,Spain,http://www.acb.com/jugador.php?id=BB2
BAZ,Victor Claver,Center,2.07,30/08/1988,Spain,http://www.acb.com/jugador.php?id=BAZ
BB8,Daniel Clark,Center,2.10,16/09/1988,United Kingdom,http://www.acb.com/jugador.php?id=BB8
BD8,Blagota Sekulic,Center,2.10,14/03/1982,Montenegro,http://www.acb.com/jugador.php?id=BD8
Y2J,V. Faverani,Center,2.13,05/05/1988,Spain,http://www.acb.com/jugador.php?id=Y2J
Y79,Josep Franch,Guard,1.92,28/01/1991,Spain,http://www.acb.com/jugador.php?id=Y79
Y6K,Jayson Granger,Guard,1.88,15/09/1989,Italy,http://www.acb.com/jugador.php?id=Y6K
BF4,"Caner-Medley,N.",Center,2.03,20/10/1983,United States,http://www.acb.com/jugador.php?id=BF4
BFB,Gary Neal,Guard,1.93,03/10/1984,United States,http://www.acb.com/jugador.php?id=BFB
Y3V,Pere Tomas,Forward,2.00,05/09/1989,Spain,http://www.acb.com/jugador.php?id=Y3V
BGO,Brad Oleson,Guard,1.91,11/04/1983,Spain,http://www.acb.com/jugador.php?id=BGO
BG3,Janis Blums,Guard,1.90,20/04/1982,Latvia,http://www.acb.com/jugador.php?id=BG3
BFP,Omar Cook,Guard,1.86,28/01/1982,Montenegro,http://www.acb.com/jugador.php?id=BFP
BGJ,James Augustine,Center,2.08,27/02/1984,United States,http://www.acb.com/jugador.php?id=BGJ
105,T. Shengelia,Center,2.06,05/10/1991,Georgia,http://www.acb.com/jugador.php?id=105
BFV,Alex Llorca,Guard,1.92,26/01/1989,Spain,http://www.acb.com/jugador.php?id=BFV
Y8C,David Jelinek,Forward,1.94,07/09/1990,Czech Rep.,http://www.acb.com/jugador.php?id=Y8C
Y1F,Xavi Rabaseda,Forward,1.96,24/02/1989,Spain,http://www.acb.com/jugador.php?id=Y1F
113,Gustavo Ayon,Center,2.07,01/04/1985,Mexico,http://www.acb.com/jugador.php?id=113
Y9O,Joan Sastre,Guard,2.01,10/12/1991,Spain,http://www.acb.com/jugador.php?id=Y9O
BIH,Eulis Baez,Center,2.01,18/03/1982,Spain,http://www.acb.com/jugador.php?id=BIH
YEF,Tomas Bellas,Guard,1.85,24/06/1987,Spain,http://www.acb.com/jugador.php?id=YEF
BGZ,Jaycee Carroll,Guard,1.88,16/04/1983,Azerbaijan,http://www.acb.com/jugador.php?id=BGZ
Y8D,C. Eyenga,Forward,1.98,22/06/1989,Congo (Kinshasa),http://www.acb.com/jugador.php?id=Y8D
YBF,Alex Lopez,Guard,1.89,08/05/1991,Spain,http://www.acb.com/jugador.php?id=YBF
BIY,Ante Tomic,Center,2.17,17/02/1987,Croatia,http://www.acb.com/jugador.php?id=BIY
004,V. Golubovic,Center,2.12,24/02/1986,Montenegro,http://www.acb.com/jugador.php?id=004
BIQ,Pierre Oriola,Center,2.06,25/09/1992,Spain,http://www.acb.com/jugador.php?id=BIQ
742,Mikel Uriz,Guard,1.80,19/07/1989,Spain,http://www.acb.com/jugador.php?id=742
