CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
CJA,"Ukic, Roko",Guard,1.96,05/12/1984,Croatia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=CJA&seasoncode=U2017
LEE,"Kruslin, Filip",Guard,1.9,18/03/1989,Croatia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=LEE&seasoncode=U2017
002501,"Johnson, Chris",Center,2.11,17/07/1985,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=002501&seasoncode=U2017
001771,"Katic, Toni",Guard,1.85,09/07/1992,Croatia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=001771&seasoncode=U2017
006023,"Bajo, Darko",Forward,2.06,14/03/1999,Croatia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=006023&seasoncode=U2017
003482,"Nichols, Demetris",Forward,2.03,04/09/1984,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=003482&seasoncode=U2017
004635,"Slavica, Nik",Forward,2.0,07/02/1997,Croatia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=004635&seasoncode=U2017
004551,"Zganec, Karlo",Forward,2.0,25/07/1995,Croatia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=004551&seasoncode=U2017
006540,"Musa, Dzanan",Guard,2.03,08/05/1999,Bosnia and Herz.,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=006540&seasoncode=U2017
006058,"Cherry, will",Guard,1.85,08/02/1991,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=006058&seasoncode=U2017
005113,"Stipanovic, Andrija",Center,2.09,18/12/1986,Bosnia and Herz.,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=005113&seasoncode=U2017
005201,"Murphy, Kevin",Guard,1.98,06/03/1990,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=005201&seasoncode=U2017
003476,"Garrett, Diante",Guard,1.93,03/11/1988,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=003476&seasoncode=U2017
007878,"Parente, Davide",Guard,1.88,18/11/1983,Italy,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007878&seasoncode=U2017
BRB,"Vujacic, Sasha",Guard,2.0,08/03/1984,Slovenia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=BRB&seasoncode=U2017
002083,"Poeta, Giuseppe",Guard,1.9,12/09/1985,Italy,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=002083&seasoncode=U2017
007984,"Stephens, Quinton",Forward,2.06,01/03/1995,United Kingdom,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007984&seasoncode=U2017
007879,"Patterson, Lamar",Forward,1.96,12/08/1991,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007879&seasoncode=U2017
007880,"Washington, Deron",Forward,2.03,12/12/1985,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007880&seasoncode=U2017
007877,"Okeke, David",Forward,2.07,15/09/1998,Italy,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007877&seasoncode=U2017
007875,"Jones, Andre",Guard,1.88,30/01/1990,Slovakia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007875&seasoncode=U2017
007876,"Mazzola, Valerio",Center,2.05,07/03/1988,Italy,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007876&seasoncode=U2017
005061,"Mbakwe, Trevor",Center,2.03,24/01/1989,Nigeria,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=005061&seasoncode=U2017
000843,"Iannuzzi, Antonio",Center,2.07,21/04/1991,Italy,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=000843&seasoncode=U2017
002364,"Fernandez, Jaime",Guard,1.86,04/06/1993,Spain,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=002364&seasoncode=U2017
003452,"Blazic, Jaka",Forward,1.96,30/06/1990,Slovenia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=003452&seasoncode=U2017
000411,"Jankovic, Vladimir",Forward,2.02,03/03/1990,Greece,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=000411&seasoncode=U2017
000564,"Stevic, Oliver",Center,2.05,18/01/1984,Serbia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=000564&seasoncode=U2017
007966,"Karnowski, Przemek",Center,2.16,08/11/1993,Poland,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007966&seasoncode=U2017
003425,"Albicy, Andrew",Guard,1.78,21/03/1990,France,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=003425&seasoncode=U2017
006476,"Diagne, Moussa",Center,2.11,06/03/1994,Senegal,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=006476&seasoncode=U2017
006588,"Shurna, John",Center,2.04,30/04/1990,Lithuania,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=006588&seasoncode=U2017
007968,"Walker, David",Forward,1.98,24/11/1993,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007968&seasoncode=U2017
007967,"Colom, Guillem",Forward,1.95,16/09/1991,Andorra,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007967&seasoncode=U2017
000597,"Jelinek, David",Forward,1.95,07/09/1990,Czech Rep.,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=000597&seasoncode=U2017
006090,"Maric, Nikola",Center,2.06,19/12/1998,Bosnia and Herz.,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=006090&seasoncode=U2017
005896,"Ejim, Melvin",Forward,2.01,04/03/1991,Canada,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=005896&seasoncode=U2017
JAN,"Ponkrashov, Anton",Guard,2.0,23/04/1986,Russia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=JAN&seasoncode=U2017
006533,"Colom, Quino",Guard,1.88,01/11/1988,Spain,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=006533&seasoncode=U2017
001287,"Lasme, Stephane",Center,2.03,17/12/1982,Gabon,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=001287&seasoncode=U2017
001853,"Meiers, Martins",Center,2.08,30/03/1991,Latvia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=001853&seasoncode=U2017
005002,"Smith, Jamar",Guard,1.91,07/04/1987,United States,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=005002&seasoncode=U2017
007851,"Trushkin, Vladislav",Forward,2.01,05/05/1993,Russia,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=007851&seasoncode=U2017
JUP,"Kaimakoglou, Kostas",Forward,2.06,15/03/1983,Greece,http://www.eurocupbasketball.com/eurocup/competition/players/showplayer?pcode=JUP&seasoncode=U2017
