CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
007969,"Ledo, Ricky",Guard,1.97,10/09/1992,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007969&seasoncode=E2017
005216,"Mccollum, Errick",Guard,1.88,22/01/1988,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005216&seasoncode=E2017
003521,"Balbay, Dogus",Guard,1.85,21/01/1989,Turkey,http://www.euroleague.net/competition/players/showplayer?pcode=003521&seasoncode=E2017
007929,"Bitim, Onuralp",Guard,1.96,31/03/1999,Turkey,http://www.euroleague.net/competition/players/showplayer?pcode=007929&seasoncode=E2017
004094,"Demir, Berk",Forward,2.04,18/05/1995,Turkey,http://www.euroleague.net/competition/players/showplayer?pcode=004094&seasoncode=E2017
006599,"Motum, Brock",Forward,2.08,16/10/1990,Australia,http://www.euroleague.net/competition/players/showplayer?pcode=006599&seasoncode=E2017
007872,"Adams, Josh",Guard,1.88,16/11/1993,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007872&seasoncode=E2017
LBJ,"Stimac, Vladimir",Center,2.1,25/08/1987,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=LBJ&seasoncode=E2017
007991,"Mustafa, Muhaymin",Guard,1.96,10/02/1999,Turkey,http://www.euroleague.net/competition/players/showplayer?pcode=007991&seasoncode=E2017
003515,"Muric, Edo",Forward,2.02,27/11/1991,Slovenia,http://www.euroleague.net/competition/players/showplayer?pcode=003515&seasoncode=E2017
003048,"Dunston, Bryant",Center,2.03,28/05/1986,United States,http://www.euroleague.net/competition/players/showplayer?pcode=003048&seasoncode=E2017
CPR,"Simon, Krunoslav",Forward,1.97,24/06/1985,Croatia,http://www.euroleague.net/competition/players/showplayer?pcode=CPR&seasoncode=E2017
001392,"Causeur, Fabien",Forward,1.95,16/06/1987,France,http://www.euroleague.net/competition/players/showplayer?pcode=001392&seasoncode=E2017
008038,"Randle, Chasson",Guard,1.88,05/02/1993,United States,http://www.euroleague.net/competition/players/showplayer?pcode=008038&seasoncode=E2017
005757,"Randolph, Anthony",Center,2.11,15/07/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005757&seasoncode=E2017
005929,"Doncic, Luka",Guard,1.99,28/02/1999,Slovenia,http://www.euroleague.net/competition/players/showplayer?pcode=005929&seasoncode=E2017
JCC,"Maciulis, Jonas",Forward,1.98,10/02/1985,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=JCC&seasoncode=E2017
AAX,"Reyes, Felipe",Forward,2.04,16/03/1980,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=AAX&seasoncode=E2017
005928,"Campazzo, Facundo",Guard,1.79,23/03/1991,Argentina,http://www.euroleague.net/competition/players/showplayer?pcode=005928&seasoncode=E2017
005927,"Ayon, Gustavo",Center,2.08,01/04/1985,Mexico,http://www.euroleague.net/competition/players/showplayer?pcode=005927&seasoncode=E2017
005368,"Yusta, Santi",Forward,2.0,28/04/1997,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=005368&seasoncode=E2017
001960,"Carroll, Jaycee",Guard,1.88,16/04/1983,United States,http://www.euroleague.net/competition/players/showplayer?pcode=001960&seasoncode=E2017
003479,"Kuzmic, Ognjen",Center,2.14,16/05/1990,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=003479&seasoncode=E2017
006546,"Taylor, Jeffery",Forward,2.01,23/05/1989,Sweden,http://www.euroleague.net/competition/players/showplayer?pcode=006546&seasoncode=E2017
001844,"Hackett, Daniel",Guard,1.97,19/12/1987,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=001844&seasoncode=E2017
004159,"Hickman, Ricky",Guard,1.89,01/09/1985,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004159&seasoncode=E2017
ABN,"Zisis, Nikos",Guard,1.97,16/08/1983,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=ABN&seasoncode=E2017
003703,"Nikolic, Aleksej",Guard,1.91,21/02/1995,Slovenia,http://www.euroleague.net/competition/players/showplayer?pcode=003703&seasoncode=E2017
002506,"Staiger, Lucca",Guard,1.96,14/06/1988,Germany,http://www.euroleague.net/competition/players/showplayer?pcode=002506&seasoncode=E2017
002553,"Mitrovic, Luka",Forward,2.05,21/03/1993,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=002553&seasoncode=E2017
007032,"Lo, Maodo",Guard,1.91,31/12/1992,Germany,http://www.euroleague.net/competition/players/showplayer?pcode=007032&seasoncode=E2017
006919,"Olinde, Louis",Forward,2.05,19/03/1998,Germany,http://www.euroleague.net/competition/players/showplayer?pcode=006919&seasoncode=E2017
006477,"Rubit, Augustine",Forward,2.01,14/08/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=006477&seasoncode=E2017
006420,"Heckmann, Patrick",Forward,1.98,27/02/1992,Germany,http://www.euroleague.net/competition/players/showplayer?pcode=006420&seasoncode=E2017
LEM,"Radosevic, Leon",Center,2.08,26/02/1990,Germany,http://www.euroleague.net/competition/players/showplayer?pcode=LEM&seasoncode=E2017
001988,"Taylor, Bryce",Guard,1.95,27/09/1986,United States,http://www.euroleague.net/competition/players/showplayer?pcode=001988&seasoncode=E2017
005094,"Thomas, Deshaun",Forward,2.01,29/08/1991,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005094&seasoncode=E2017
008015,"Mashour, Karam",Forward,1.98,09/08/1991,Israel,http://www.euroleague.net/competition/players/showplayer?pcode=008015&seasoncode=E2017
004974,"Roll, Michael",Forward,1.98,12/04/1987,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004974&seasoncode=E2017
005781,"Kane, Deandre",Guard,1.96,10/06/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005781&seasoncode=E2017
004119,"Tyus, Alex",Center,2.03,08/01/1988,Israel,http://www.euroleague.net/competition/players/showplayer?pcode=004119&seasoncode=E2017
007990,"Dibartolomeo, John",Guard,1.83,20/06/1991,Israel,http://www.euroleague.net/competition/players/showplayer?pcode=007990&seasoncode=E2017
005145,"Cohen, Jake",Center,2.1,25/09/1990,Israel,http://www.euroleague.net/competition/players/showplayer?pcode=005145&seasoncode=E2017
004161,"Segev, Itay",Forward,2.04,15/06/1995,Israel,http://www.euroleague.net/competition/players/showplayer?pcode=004161&seasoncode=E2017
007989,"Cole, Norris",Guard,1.88,13/10/1988,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007989&seasoncode=E2017
007988,"Bolden, Jonah",Forward,2.08,02/01/1996,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007988&seasoncode=E2017
003034,"Parakhouski, Artsiom",Center,2.11,06/10/1987,Belarus,http://www.euroleague.net/competition/players/showplayer?pcode=003034&seasoncode=E2017
005112,"Jackson, Pierre",Guard,1.8,29/08/1991,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005112&seasoncode=E2017
002100,"Decolo, Nando",Guard,1.96,23/06/1987,France,http://www.euroleague.net/competition/players/showplayer?pcode=002100&seasoncode=E2017
LLH,"Fridzon, Vitaly",Guard,1.95,14/10/1985,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=LLH&seasoncode=E2017
002543,"Westermann, Leo",Guard,1.98,24/07/1992,France,http://www.euroleague.net/competition/players/showplayer?pcode=002543&seasoncode=E2017
004941,"Antonov, Semen",Forward,2.02,18/07/1989,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=004941&seasoncode=E2017
CVM,"Rodriguez, Sergio",Guard,1.91,12/06/1986,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=CVM&seasoncode=E2017
LHI,"Vorontsevich, Andrey",Forward,2.07,17/07/1987,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=LHI&seasoncode=E2017
004888,"Clyburn, will",Forward,2.01,17/05/1990,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004888&seasoncode=E2017
006450,"Higgins, Cory",Guard,1.96,14/06/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=006450&seasoncode=E2017
BCQ,"Khryapa, Victor",Forward,2.03,03/08/1982,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=BCQ&seasoncode=E2017
JLX,"Kurbanov, Nikita",Forward,2.02,05/10/1986,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=JLX&seasoncode=E2017
002812,"Hines, Kyle",Center,1.98,02/09/1986,United States,http://www.euroleague.net/competition/players/showplayer?pcode=002812&seasoncode=E2017
005160,"Hunter, Othello",Center,2.03,28/05/1986,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005160&seasoncode=E2017
004903,"Goudelock, Andrew",Guard,1.91,07/12/1988,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004903&seasoncode=E2017
000529,"Micov, Vladimir",Forward,2.01,16/04/1985,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=000529&seasoncode=E2017
