competition,MP_min,PIR
acb,3.6333333333333333,-1
acb,11.433333333333334,7
acb,22.883333333333333,11
acb,28.083333333333332,18
acb,15.033333333333333,3
acb,3.7666666666666666,0
acb,15.95,4
acb,22.216666666666665,18
acb,14.4,4
acb,21.983333333333334,4
acb,18.516666666666666,13
acb,20.016666666666666,5
acb,27.833333333333332,11
acb,20.016666666666666,12
acb,29.033333333333335,17
acb,26.65,13
acb,26.05,11
acb,29.466666666666665,6
acb,18.366666666666667,12
acb,28.8,25
acb,23.683333333333334,-4
acb,24.2,15
acb,33.416666666666664,18
acb,20.416666666666668,7
acb,24.383333333333333,2
acb,26.166666666666668,8
acb,22.9,4
acb,29.2,22
acb,22.266666666666666,0
acb,13.1,-2
acb,10.383333333333333,1
acb,19.516666666666666,11
acb,11.266666666666667,7
acb,13.566666666666666,1
acb,9.366666666666667,6
acb,20.916666666666668,3
acb,14.75,8
acb,13.9,16
acb,18.583333333333332,16
acb,14.083333333333334,7
acb,13.533333333333333,-2
acb,15.083333333333334,18
acb,21.016666666666666,10
acb,15.05,13
acb,14.283333333333333,9
acb,11.116666666666667,5
acb,22.15,5
acb,21.983333333333334,11
acb,14.533333333333333,1
acb,7.35,-1
acb,0.0,0
acb,14.75,3
acb,16.066666666666666,19
acb,11.85,-1
acb,22.766666666666666,4
acb,17.733333333333334,12
acb,14.916666666666666,0
acb,21.166666666666668,1
acb,23.416666666666668,23
acb,1.9166666666666665,-3
acb,24.983333333333334,7
acb,33.21666666666667,8
acb,25.216666666666665,17
acb,24.383333333333333,7
acb,8.116666666666667,2
acb,27.4,1
acb,29.166666666666668,6
acb,24.833333333333332,11
acb,20.683333333333334,4
acb,29.516666666666666,4
acb,28.1,1
acb,27.966666666666665,27
acb,0.0,0
acb,16.833333333333332,2
acb,17.65,6
acb,26.533333333333335,24
acb,24.266666666666666,9
acb,12.166666666666666,-2
acb,17.616666666666667,6
acb,11.183333333333334,1
acb,13.416666666666666,6
acb,15.766666666666667,-2
acb,10.583333333333334,-3
acb,18.783333333333335,10
acb,11.4,-2
acb,16.833333333333332,1
acb,15.966666666666667,8
acb,11.583333333333334,4
acb,12.383333333333333,-1
acb,9.916666666666666,-3
acb,16.516666666666666,0
acb,17.783333333333335,9
acb,10.8,14
acb,17.733333333333334,9
acb,19.75,11
acb,21.566666666666666,4
acb,0.0,0
acb,32.1,20
acb,28.95,12
acb,28.65,5
acb,23.516666666666666,14
acb,29.083333333333332,11
acb,13.65,4
acb,32.15,16
acb,19.566666666666666,8
acb,27.983333333333334,21
acb,24.266666666666666,-2
acb,17.983333333333334,-3
acb,20.65,14
acb,19.466666666666665,4
acb,29.333333333333332,12
acb,26.65,28
acb,28.216666666666665,15
acb,24.466666666666665,9
acb,15.816666666666666,9
acb,6.95,-1
acb,5.983333333333333,3
acb,16.6,13
acb,13.8,8
acb,1.2166666666666668,-3
acb,0.0,0
acb,0.0,0
acb,7.616666666666667,2
acb,0.0,0
acb,0.0,0
acb,16.216666666666665,14
acb,7.433333333333334,1
acb,9.766666666666667,5
acb,8.25,3
acb,0.0,0
acb,6.15,0
acb,20.616666666666667,16
acb,15.55,5
acb,28.416666666666668,14
acb,18.65,4
acb,15.783333333333333,5
acb,14.966666666666667,9
acb,21.833333333333332,7
acb,25.65,6
acb,23.166666666666668,0
acb,20.4,9
acb,17.083333333333332,13
acb,26.966666666666665,22
acb,16.95,7
acb,23.433333333333334,14
acb,16.733333333333334,13
acb,20.183333333333334,5
acb,13.883333333333333,16
acb,23.283333333333335,17
acb,22.716666666666665,12
acb,20.2,15
acb,19.633333333333333,11
acb,22.75,18
acb,28.316666666666666,3
acb,6.966666666666667,1
acb,1.3166666666666667,1
acb,0.9166666666666666,1
acb,0.0,0
acb,16.35,11
acb,18.016666666666666,14
acb,25.466666666666665,23
acb,29.45,13
acb,21.466666666666665,3
acb,25.25,20
acb,21.616666666666667,13
acb,23.033333333333335,10
acb,24.783333333333335,12
acb,28.283333333333335,9
acb,25.116666666666667,8
acb,28.15,20
acb,17.316666666666666,10
acb,18.533333333333335,11
acb,25.083333333333332,11
acb,18.833333333333332,6
acb,0.0,0
acb,1.45,1
acb,0.0,0
acb,0.0,0
acb,12.483333333333333,13
acb,20.783333333333335,11
acb,17.95,12
acb,20.033333333333335,9
acb,20.766666666666666,4
acb,23.183333333333334,7
acb,12.55,11
acb,24.983333333333334,4
acb,24.8,20
acb,25.583333333333332,6
acb,31.083333333333332,25
acb,24.15,20
acb,16.45,6
acb,20.033333333333335,1
acb,15.166666666666666,7
acb,20.2,9
acb,26.7,24
acb,14.05,7
acb,12.316666666666666,4
acb,6.833333333333333,3
acb,16.233333333333334,4
acb,12.3,4
acb,18.483333333333334,11
acb,14.716666666666667,3
acb,9.15,-2
acb,21.666666666666668,7
acb,17.1,5
acb,8.333333333333334,0
acb,16.45,1
acb,16.433333333333334,10
acb,30.516666666666666,13
acb,25.55,11
acb,16.533333333333335,1
acb,25.416666666666668,4
acb,22.2,7
acb,16.266666666666666,6
acb,22.333333333333332,11
acb,15.533333333333333,12
acb,16.416666666666668,-9
acb,15.15,2
acb,8.616666666666667,-6
acb,10.383333333333333,6
acb,0.0,0
acb,1.8666666666666667,0
acb,19.816666666666666,16
acb,0.03333333333333333,0
acb,15.733333333333333,6
acb,7.2,4
acb,14.95,5
acb,14.016666666666667,-2
acb,0.0,0
acb,12.75,0
acb,14.016666666666667,4
acb,13.0,5
acb,23.383333333333333,12
acb,18.216666666666665,17
acb,12.25,1
acb,20.866666666666667,6
acb,15.466666666666667,-1
acb,21.783333333333335,17
acb,13.216666666666667,3
acb,13.216666666666667,7
acb,11.2,-3
acb,14.016666666666667,5
acb,0.36666666666666664,0
acb,10.066666666666666,12
acb,13.116666666666667,-1
acb,0.0,0
acb,24.816666666666666,19
acb,25.6,16
acb,23.45,13
acb,19.383333333333333,5
acb,25.15,15
acb,16.083333333333332,4
acb,20.933333333333334,14
acb,27.466666666666665,16
acb,0.0,0
acb,24.766666666666666,8
acb,24.466666666666665,13
acb,27.216666666666665,12
acb,17.666666666666668,19
acb,21.316666666666666,18
acb,17.766666666666666,6
acb,19.05,7
acb,21.316666666666666,8
acb,20.583333333333332,6
acb,22.15,11
acb,25.866666666666667,10
acb,17.1,2
acb,10.45,2
acb,17.116666666666667,0
acb,20.5,7
acb,23.633333333333333,26
acb,21.416666666666668,8
acb,13.95,3
acb,22.066666666666666,11
acb,27.283333333333335,3
acb,21.983333333333334,12
acb,18.516666666666666,5
acb,30.433333333333334,12
acb,15.7,1
acb,29.583333333333332,7
acb,28.733333333333334,11
acb,27.25,7
acb,29.9,28
acb,20.25,7
acb,27.816666666666666,3
acb,33.733333333333334,24
acb,31.733333333333334,3
acb,24.566666666666666,5
acb,29.283333333333335,13
acb,18.083333333333332,0
acb,26.733333333333334,5
acb,14.916666666666666,6
acb,12.7,7
acb,19.033333333333335,13
acb,21.5,11
acb,21.15,5
acb,25.133333333333333,9
acb,21.216666666666665,5
acb,13.983333333333333,1
acb,22.566666666666666,13
acb,20.4,2
