competition,player_id,appearances
acb,abalde alberto||acb,12
acb,abromaitis tim||acb,17
acb,agbelese danny||acb,17
acb,aguilar pablo||acb,13
acb,akognon josh||acb,1
acb,albicy andrew||acb,17
acb,allen rosco||acb,17
acb,alocen carlos||acb,3
acb,anosike oderah||acb,17
acb,arteaga victor||acb,17
acb,augustine james||acb,17
acb,ayon gustavo||acb,7
acb,azpeitia asier||acb,2
acb,bachynski jordan||acb,1
acb,baez eulis||acb,16
acb,balcerowski a.||acb,1
acb,balcerowski olek||acb,3
acb,balvin ondrej||acb,17
acb,barreiro j.||acb,17
acb,barrera alex||acb,17
acb,bassas ferran||acb,14
acb,beaubois rodrigue||acb,16
acb,beiran javier||acb,15
acb,bellas tomas||acb,17
acb,bendzius eimantas||acb,17
acb,benite vitor||acb,17
acb,beraza xabier||acb,1
acb,beraza xabi||acb,4
acb,birgander simon||acb,16
acb,blanco saul||acb,11
acb,blazic jaka||acb,17
acb,blums janis||acb,17
acb,bonde sturup mads||acb,6
acb,boungou-colo n.||acb,9
acb,brizuela dario||acb,17
acb,brooks jeff||acb,17
acb,brown alec||acb,17
acb,brussino nico||acb,3
acb,busquets pep||acb,2
acb,campazzo facu||acb,17
acb,caner-medleyn.||acb,15
acb,carroll jaycee||acb,16
acb,causeur fabien||acb,16
acb,chery kenny||acb,17
acb,clark daniel||acb,17
acb,claver victor||acb,11
acb,colom guillem||acb,17
acb,cook omar||acb,17
acb,copeland chris||acb,7
acb,corbacho a.||acb,17
acb,cruz francisco||acb,17
acb,cruz ivan||acb,17
acb,cvetkovic a.||acb,16
acb,de jong nicolas||acb,17
acb,delfino carlos||acb,4
acb,delia marcos||acb,17
acb,diagne atoumane||acb,4
acb,diagne moussa||acb,16
acb,diaz alberto||acb,17
acb,diez daniel||acb,14
acb,dimitrijevic n.||acb,17
acb,diop ilimane||acb,13
acb,doncic luka||acb,16
acb,doornekamp a.||acb,17
acb,dos anjos felipe||acb,7
acb,dragovic nikola||acb,17
acb,draper dontaye||acb,9
acb,dubljevic bojan||acb,14
acb,ehigiator osas||acb,1
acb,eriksson marcus||acb,16
acb,eyenga c.||acb,17
acb,fakuade michael||acb,17
acb,faverani v.||acb,2
acb,fernandez jaime||acb,17
acb,fernandez rudy||acb,13
acb,ferrando luis||acb,3
acb,fischer luke||acb,17
acb,fischer ricardo||acb,16
acb,fisher corey||acb,17
acb,franch josep||acb,17
acb,gacic sandro||acb,1
acb,gailius deividas||acb,17
acb,garcia marc||acb,6
acb,garcia sergi||acb,11
acb,garino patricio||acb,8
acb,garuba usman||acb,1
acb,gielo tomasz||acb,17
acb,gladness mickell||acb,16
acb,golubovic v.||acb,17
acb,gomez rodrigo||acb,6
acb,gonzalez jose m.||acb,15
acb,gonzalez miguel||acb,3
acb,granger jayson||acb,17
acb,green erick||acb,16
acb,gudul omari||acb,14
acb,hakanson ludde||acb,17
acb,hammink shane||acb,17
acb,hanga adam||acb,17
acb,hannah clevin||acb,17
acb,hervelle axel||acb,17
acb,heurtel thomas||acb,16
acb,hlinason t.||acb,16
acb,huertas m.||acb,17
acb,huskic goran||acb,17
acb,jankovic vladimir||acb,15
acb,janning matt||acb,16
acb,jelinek david||acb,17
acb,jenkins john||acb,10
acb,jones kevin||acb,8
acb,jordan jerome||acb,17
acb,karnowski przemek||acb,13
acb,kelly ryan||acb,17
acb,kempton tim||acb,7
acb,kljajic jovan||acb,2
acb,kloof charlon||acb,17
acb,koponen petteri||acb,17
acb,kulvietis saulius||acb,16
acb,kurucs rodions||acb,3
acb,kuzmic ognjen||acb,4
acb,laksa martins||acb,17
acb,landesberg sylven||acb,16
acb,llompart pedro||acb,7
acb,llorca alex||acb,16
acb,llorente sergio||acb,17
acb,llovet nacho||acb,17
acb,lopez alex||acb,17
acb,lopez javi||acb,3
acb,lopez-arostegui x||acb,15
acb,lukovic marko||acb,17
acb,maciulis jonas||acb,11
acb,malmanis rinalds||acb,7
acb,maric nikola||acb,2
acb,martin alberto||acb,13
acb,martinez edu||acb,17
acb,martinez emilio||acb,3
acb,martinez ivan||acb,13
acb,martinez rafa||acb,17
acb,mavra dominik||acb,5
acb,mazalin lovro||acb,15
acb,mccalebb bo||acb,6
acb,mccallum ray||acb,17
acb,mcgrath donnie||acb,14
acb,mckissic s.||acb,10
acb,mcrae jordan||acb,1
acb,mekel gal||acb,17
acb,mendia borja||acb,9
acb,michalak michal||acb,17
acb,milosavljevic d.||acb,12
acb,moerman adrien||acb,15
acb,molins pol||acb,1
acb,mumbru alex||acb,17
acb,navarro david||acb,17
acb,navarro j.c.||acb,16
acb,neal gary||acb,14
acb,nedovic nemanja||acb,17
acb,nelson luke||acb,17
acb,niang mamadou||acb,17
acb,nogues jose i.||acb,17
acb,norel henk||acb,17
acb,okouo viny||acb,17
acb,olaizola julen||acb,15
acb,olaseni gabriel||acb,17
acb,oleary ian||acb,17
acb,oleson brad||acb,17
acb,oliver albert||acb,16
acb,oriola pierre||acb,15
acb,oroz xabi||acb,16
acb,pardina joan||acb,14
acb,parra joel||acb,2
acb,pasecniks anzejs||acb,17
acb,pauli oriol||acb,16
acb,pechacek adam||acb,4
acb,pena dagoberto||acb,17
acb,perez daniel||acb,17
acb,pleiss tibor||acb,17
acb,pluta andrzej||acb,2
acb,poirier vincent||acb,17
acb,ponitka mateusz||acb,15
acb,popovic marko||acb,17
acb,pozas pepe||acb,17
acb,pressey phil||acb,17
acb,puerto josep||acb,9
acb,pustovyi artem||acb,17
acb,rabaseda xavi||acb,16
acb,radoncic dino||acb,13
acb,radovic nemanja||acb,17
acb,randle chasson||acb,14
acb,randolph a.||acb,6
acb,redivo lucio||acb,16
acb,reyes felipe||acb,17
acb,ribas pau||acb,17
acb,richard patrick||acb,16
acb,richotti nicolas||acb,15
acb,rojas sadiel||acb,17
acb,rudez damjan||acb,12
acb,rupnik luka||acb,17
acb,sabat albert||acb,17
acb,saiz sebas||acb,17
acb,salgado javier||acb,17
acb,salin sasu||acb,17
acb,salvo miquel||acb,17
acb,san emeterio||acb,8
acb,san miguel r.||acb,17
acb,sanchez a.||acb,17
acb,sanders rakim||acb,11
acb,sane landing||acb,3
