competition,player_id,player_name,appearances,first_date,last_date,mean_minutes,mean_pir
acb,abalde alberto||acb,"Abalde, Alberto",12,2017-10-08,2018-01-21,16.493055555555554,7.166666666666667
acb,abromaitis tim||acb,"Abromaitis, Tim",17,2017-10-01,2018-01-21,25.461764705882356,10.529411764705882
acb,agbelese danny||acb,"Agbelese, Danny",17,2017-10-01,2018-01-21,14.677450980392157,7.470588235294118
acb,aguilar pablo||acb,"Aguilar, Pablo",13,2017-10-01,2018-01-21,16.0525641025641,5.923076923076923
acb,akognon josh||acb,"Akognon, Josh",1,2018-01-21,2018-01-21,1.9166666666666665,-3.0
acb,albicy andrew||acb,"Albicy, Andrew",17,2017-10-01,2018-01-21,22.87450980392157,8.0
acb,allen rosco||acb,"Allen, Rosco",17,2017-10-01,2018-01-21,14.14313725490196,3.235294117647059
acb,alocen carlos||acb,"Alocen, Carlos",3,2017-12-03,2017-12-17,13.77222222222222,5.0
acb,anosike oderah||acb,"Anosike, Oderah",17,2017-10-01,2018-01-21,25.099019607843136,11.058823529411764
acb,arteaga victor||acb,"Arteaga, Victor",17,2017-10-05,2018-01-21,6.811764705882354,3.176470588235294
acb,augustine james||acb,"Augustine, James",17,2017-10-01,2018-01-21,20.015686274509804,9.705882352941176
acb,ayon gustavo||acb,"Ayon, Gustavo",7,2017-10-01,2017-11-04,20.552380952380954,11.0
acb,azpeitia asier||acb,"Azpeitia, Asier",2,2017-10-04,2018-01-07,1.1166666666666667,1.0
acb,bachynski jordan||acb,"Bachynski, Jordan",1,2017-10-21,2017-10-21,0.0,0.0
acb,baez eulis||acb,"Baez, Eulis",16,2017-10-01,2018-01-14,22.921875,12.125
acb,balcerowski a.||acb,"Balcerowski, A.",1,2017-11-19,2017-11-19,0.0,0.0
acb,balcerowski olek||acb,"Balcerowski, Olek",3,2017-12-03,2018-01-21,0.48333333333333334,0.3333333333333333
acb,balvin ondrej||acb,"Balvin, Ondrej",17,2017-10-01,2018-01-21,20.99411764705882,11.117647058823529
acb,barreiro j.||acb,"Barreiro, J.",17,2017-09-30,2018-01-21,16.59313725490196,5.0588235294117645
acb,barrera alex||acb,"Barrera, Alex",17,2017-10-01,2018-01-21,11.795098039215686,3.411764705882353
acb,bassas ferran||acb,"Bassas, Ferran",14,2017-10-01,2018-01-21,14.553571428571429,5.214285714285714
acb,beaubois rodrigue||acb,"Beaubois, Rodrigue",16,2017-10-05,2018-01-21,18.761458333333334,10.3125
acb,beiran javier||acb,"Beiran, Javier",15,2017-10-01,2018-01-21,19.618888888888886,8.333333333333334
acb,bellas tomas||acb,"Bellas, Tomas",17,2017-09-30,2018-01-21,25.97549019607843,8.588235294117647
acb,bendzius eimantas||acb,"Bendzius, Eimantas",17,2017-09-30,2018-01-21,21.73725490196078,8.588235294117647
acb,benite vitor||acb,"Benite, Vitor",17,2017-10-01,2018-01-21,19.104901960784314,8.647058823529411
acb,beraza xabier||acb,"Beraza, Xabier",1,2018-01-21,2018-01-21,3.4,-3.0
acb,beraza xabi||acb,"Beraza, Xabi",4,2017-10-22,2018-01-07,2.158333333333333,0.75
acb,birgander simon||acb,"Birgander, Simon",16,2017-10-05,2018-01-21,13.10625,3.1875
acb,blanco saul||acb,"Blanco, Saul",11,2017-10-01,2017-12-30,4.763636363636364,1.1818181818181819
acb,blazic jaka||acb,"Blazic, Jaka",17,2017-10-01,2018-01-21,26.85098039215686,13.058823529411764
acb,blums janis||acb,"Blums, Janis",17,2017-09-30,2018-01-21,21.8921568627451,4.705882352941177
acb,bonde sturup mads||acb,"Bonde Sturup, Mads",6,2017-10-15,2018-01-14,0.03333333333333333,0.0
acb,boungou-colo n.||acb,"Boungou-Colo, N.",9,2017-10-01,2017-11-18,29.77407407407408,10.11111111111111
acb,brizuela dario||acb,"Brizuela, Dario",17,2017-10-05,2018-01-21,16.211764705882356,3.0
acb,brooks jeff||acb,"Brooks, Jeff",17,2017-10-01,2018-01-21,18.801960784313724,9.058823529411764
acb,brown alec||acb,"Brown, Alec",17,2017-10-05,2018-01-21,21.326470588235296,10.882352941176471
acb,brussino nico||acb,"Brussino, Nico",3,2018-01-07,2018-01-21,13.144444444444446,3.6666666666666665
acb,busquets pep||acb,"Busquets, Pep",2,2018-01-04,2018-01-07,0.0,0.0
acb,campazzo facu||acb,"Campazzo, Facu",17,2017-10-01,2018-01-21,23.44607843137255,11.411764705882353
acb,caner-medleyn.||acb,"Caner-Medley,N.",15,2017-10-05,2018-01-21,19.585555555555555,7.4
acb,carroll jaycee||acb,"Carroll, Jaycee",16,2017-10-01,2018-01-21,17.40416666666667,9.4375
acb,causeur fabien||acb,"Causeur, Fabien",16,2017-10-01,2018-01-21,16.4875,8.5
acb,chery kenny||acb,"Chery, Kenny",17,2017-10-01,2018-01-21,18.698039215686276,6.705882352941177
acb,clark daniel||acb,"Clark, Daniel",17,2017-10-01,2018-01-21,21.951960784313727,8.647058823529411
acb,claver victor||acb,"Claver, Victor",11,2017-11-05,2018-01-21,12.945454545454545,4.090909090909091
acb,colom guillem||acb,"Colom, Guillem",17,2017-10-01,2018-01-21,2.1107843137254902,0.6470588235294118
acb,cook omar||acb,"Cook, Omar",17,2017-10-05,2018-01-21,26.224509803921567,11.823529411764707
acb,copeland chris||acb,"Copeland, Chris",7,2017-11-12,2018-01-21,11.73095238095238,1.2857142857142858
acb,corbacho a.||acb,"Corbacho, A.",17,2017-09-30,2018-01-21,6.898039215686275,2.1176470588235294
acb,cruz francisco||acb,"Cruz, Francisco",17,2017-09-30,2018-01-21,24.61470588235294,9.529411764705882
acb,cruz ivan||acb,"Cruz, Ivan",17,2017-10-01,2018-01-21,8.948039215686276,1.9411764705882353
acb,cvetkovic a.||acb,"Cvetkovic, A.",16,2017-10-05,2018-01-21,20.2375,5.0625
acb,de jong nicolas||acb,"De Jong, Nicolas",17,2017-09-30,2018-01-21,15.241176470588236,9.0
acb,delfino carlos||acb,"Delfino, Carlos",4,2017-09-29,2017-10-15,12.924999999999999,0.75
acb,delia marcos||acb,"Delia, Marcos",17,2017-10-01,2018-01-21,23.127450980392158,7.470588235294118
acb,diagne atoumane||acb,"Diagne, Atoumane",4,2017-09-29,2018-01-21,1.4375,-0.5
acb,diagne moussa||acb,"Diagne, Moussa",16,2017-10-01,2018-01-21,13.754166666666666,7.9375
acb,diaz alberto||acb,"Diaz, Alberto",17,2017-10-01,2018-01-21,20.557843137254903,5.705882352941177
acb,diez daniel||acb,"Diez, Daniel",14,2017-10-14,2018-01-21,13.677380952380954,6.357142857142857
acb,dimitrijevic n.||acb,"Dimitrijevic, N.",17,2017-10-05,2018-01-21,16.144117647058824,4.529411764705882
acb,diop ilimane||acb,"Diop, Ilimane",13,2017-09-29,2018-01-21,11.964102564102564,7.0
acb,doncic luka||acb,"Doncic, Luka",16,2017-10-01,2018-01-14,23.930208333333333,20.0625
acb,doornekamp a.||acb,"Doornekamp, A.",17,2017-10-01,2018-01-21,20.945098039215686,6.588235294117647
acb,dos anjos felipe||acb,"Dos Anjos, Felipe",7,2017-10-01,2017-11-05,1.676190476190476,0.7142857142857143
acb,dragovic nikola||acb,"Dragovic, Nikola",17,2017-09-30,2018-01-21,24.948039215686276,9.235294117647058
acb,draper dontaye||acb,"Draper, Dontaye",9,2017-11-18,2018-01-21,16.555555555555557,4.444444444444445
acb,dubljevic bojan||acb,"Dubljevic, Bojan",14,2017-10-01,2018-01-13,21.271428571428572,12.928571428571429
acb,ehigiator osas||acb,"Ehigiator, Osas",1,2017-12-10,2017-12-10,0.0,0.0
acb,eriksson marcus||acb,"Eriksson, Marcus",16,2017-10-01,2018-01-21,21.541666666666668,11.3125
acb,eyenga c.||acb,"Eyenga, C.",17,2017-09-30,2018-01-21,26.38137254901961,11.588235294117647
acb,fakuade michael||acb,"Fakuade, Michael",17,2017-10-01,2018-01-21,15.822549019607845,5.294117647058823
acb,faverani v.||acb,"Faverani, V.",2,2017-10-29,2017-11-05,2.2583333333333333,-2.0
acb,fernandez jaime||acb,"Fernandez, Jaime",17,2017-10-01,2018-01-21,21.807843137254903,13.764705882352942
acb,fernandez rudy||acb,"Fernandez, Rudy",13,2017-10-05,2018-01-21,14.851282051282052,8.307692307692308
acb,ferrando luis||acb,"Ferrando, Luis",3,2017-12-03,2018-01-02,0.9388888888888888,-0.6666666666666666
acb,fischer luke||acb,"Fischer, Luke",17,2017-10-01,2018-01-21,6.915686274509803,3.9411764705882355
acb,fischer ricardo||acb,"Fischer, Ricardo",16,2017-09-30,2018-01-21,13.629166666666666,4.9375
acb,fisher corey||acb,"Fisher, Corey",17,2017-10-01,2018-01-21,24.039215686274506,9.352941176470589
acb,franch josep||acb,"Franch, Josep",17,2017-10-01,2018-01-21,12.627450980392156,4.705882352941177
acb,gacic sandro||acb,"Gacic, Sandro",1,2018-01-06,2018-01-06,0.0,0.0
acb,gailius deividas||acb,"Gailius, Deividas",17,2017-10-01,2018-01-21,22.805882352941175,9.705882352941176
acb,garcia marc||acb,"Garcia, Marc",6,2017-09-29,2017-10-29,2.033333333333333,0.0
acb,garcia sergi||acb,"Garcia, Sergi",11,2017-09-30,2018-01-13,17.166666666666668,10.363636363636363
acb,garino patricio||acb,"Garino, Patricio",8,2017-10-22,2018-01-14,11.716666666666667,0.625
acb,garuba usman||acb,"Garuba, Usman",1,2017-10-28,2017-10-28,0.0,0.0
acb,gielo tomasz||acb,"Gielo, Tomasz",17,2017-10-05,2018-01-21,21.939215686274512,5.411764705882353
acb,gladness mickell||acb,"Gladness, Mickell",16,2017-09-30,2018-01-14,20.3875,9.0625
acb,golubovic v.||acb,"Golubovic, V.",17,2017-10-01,2018-01-21,13.358823529411765,7.470588235294118
acb,gomez rodrigo||acb,"Gomez, Rodrigo",6,2017-10-21,2018-01-13,0.0,0.0
acb,gonzalez jose m.||acb,"Gonzalez, Jose M.",15,2017-09-30,2018-01-21,1.6244444444444446,0.5333333333333333
acb,gonzalez miguel||acb,"Gonzalez, Miguel",3,2017-11-19,2018-01-03,1.8111111111111111,0.0
acb,granger jayson||acb,"Granger, Jayson",17,2017-09-29,2018-01-21,25.00588235294118,12.411764705882353
acb,green erick||acb,"Green, Erick",16,2017-10-01,2018-01-21,22.571875,13.5
acb,gudul omari||acb,"Gudul, Omari",14,2017-10-05,2018-01-21,1.9357142857142857,-0.42857142857142855
acb,hakanson ludde||acb,"Hakanson, Ludde",17,2017-10-05,2018-01-21,14.905882352941177,5.294117647058823
acb,hammink shane||acb,"Hammink, Shane",17,2017-09-30,2018-01-21,15.030392156862746,2.5294117647058822
acb,hanga adam||acb,"Hanga, Adam",17,2017-09-29,2018-01-21,22.601960784313725,11.058823529411764
acb,hannah clevin||acb,"Hannah, Clevin",17,2017-10-01,2018-01-21,25.531372549019608,15.235294117647058
acb,hervelle axel||acb,"Hervelle, Axel",17,2017-09-30,2018-01-21,21.802941176470586,4.470588235294118
acb,heurtel thomas||acb,"Heurtel, Thomas",16,2017-09-29,2018-01-21,23.722916666666666,15.4375
acb,hlinason t.||acb,"Hlinason, T.",16,2017-10-01,2018-01-21,1.934375,0.375
acb,huertas m.||acb,"Huertas, M.",17,2017-09-29,2018-01-21,20.512745098039215,9.705882352941176
acb,huskic goran||acb,"Huskic, Goran",17,2017-10-01,2018-01-21,20.27450980392157,10.176470588235293
acb,jankovic vladimir||acb,"Jankovic, Vladimir",15,2017-10-01,2018-01-21,17.67222222222222,6.133333333333334
acb,janning matt||acb,"Janning, Matt",16,2017-09-29,2018-01-21,22.088541666666668,6.25
acb,jelinek david||acb,"Jelinek, David",17,2017-10-01,2018-01-21,19.000980392156862,7.0
acb,jenkins john||acb,"Jenkins, John",10,2017-11-11,2018-01-21,19.215,9.6
acb,jones kevin||acb,"Jones, Kevin",8,2017-12-03,2018-01-21,15.660416666666666,6.75
acb,jordan jerome||acb,"Jordan, Jerome",17,2017-10-05,2018-01-21,24.08823529411765,15.705882352941176
acb,karnowski przemek||acb,"Karnowski, Przemek",13,2017-10-01,2017-12-23,16.24871794871795,6.3076923076923075
acb,kelly ryan||acb,"Kelly, Ryan",17,2017-10-01,2018-01-21,29.355882352941176,15.294117647058824
acb,kempton tim||acb,"Kempton, Tim",7,2017-09-30,2017-11-05,6.252380952380952,0.2857142857142857
acb,kljajic jovan||acb,"Kljajic, Jovan",2,2017-12-03,2017-12-10,0.0,0.0
acb,kloof charlon||acb,"Kloof, Charlon",17,2017-10-01,2018-01-21,16.91078431372549,6.411764705882353
acb,koponen petteri||acb,"Koponen, Petteri",17,2017-09-29,2018-01-21,16.98627450980392,5.764705882352941
acb,kulvietis saulius||acb,"Kulvietis, Saulius",16,2017-10-05,2018-01-21,18.746875,5.3125
acb,kurucs rodions||acb,"Kurucs, Rodions",3,2017-12-10,2018-01-21,4.961111111111111,1.6666666666666667
acb,kuzmic ognjen||acb,"Kuzmic, Ognjen",4,2017-10-01,2017-10-15,16.308333333333334,7.75
acb,laksa martins||acb,"Laksa, Martins",17,2017-09-30,2018-01-21,11.894117647058824,1.8235294117647058
acb,landesberg sylven||acb,"Landesberg, Sylven",16,2017-10-05,2018-01-21,27.091666666666665,14.75
acb,llompart pedro||acb,"Llompart, Pedro",7,2017-10-01,2017-11-19,4.69047619047619,1.7142857142857142
acb,llorca alex||acb,"Llorca, Alex",16,2017-09-30,2018-01-21,8.258333333333333,2.8125
acb,llorente sergio||acb,"Llorente, Sergio",17,2017-09-30,2018-01-21,1.0813725490196078,-0.17647058823529413
acb,llovet nacho||acb,"Llovet, Nacho",17,2017-09-30,2018-01-21,18.920588235294115,6.9411764705882355
acb,lopez alex||acb,"Lopez, Alex",17,2017-10-01,2018-01-21,20.37450980392157,7.117647058823529
acb,lopez javi||acb,"Lopez, Javi",3,2017-11-19,2018-01-21,0.0,0.0
acb,lopez-arostegui x||acb,"Lopez-Arostegui, X",15,2017-10-05,2018-01-21,15.328888888888889,5.733333333333333
acb,lukovic marko||acb,"Lukovic, Marko",17,2017-10-01,2018-01-21,16.140196078431373,5.235294117647059
acb,maciulis jonas||acb,"Maciulis, Jonas",11,2017-10-22,2018-01-21,14.624242424242425,5.7272727272727275
acb,malmanis rinalds||acb,"Malmanis, Rinalds",7,2017-09-29,2017-12-09,13.404761904761903,1.8571428571428572
acb,maric nikola||acb,"Maric, Nikola",2,2017-10-04,2017-10-15,0.0,0.0
acb,martin alberto||acb,"Martin, Alberto",13,2017-10-15,2018-01-21,1.985897435897436,0.38461538461538464
acb,martinez edu||acb,"Martinez, Edu",17,2017-10-01,2018-01-21,8.886274509803922,2.4705882352941178
acb,martinez emilio||acb,"Martinez, Emilio",3,2017-10-01,2017-10-22,0.0,0.0
acb,martinez ivan||acb,"Martinez, Ivan",13,2017-09-29,2018-01-21,0.44999999999999996,0.0
acb,martinez rafa||acb,"Martinez, Rafa",17,2017-10-01,2018-01-21,17.41176470588235,9.352941176470589
acb,mavra dominik||acb,"Mavra, Dominik",5,2017-10-05,2017-10-29,11.783333333333333,0.6
acb,mazalin lovro||acb,"Mazalin, Lovro",15,2017-09-30,2018-01-13,3.2911111111111113,-0.4666666666666667
acb,mccalebb bo||acb,"McCalebb, Bo",6,2017-12-17,2018-01-21,24.977777777777778,12.333333333333334
acb,mccallum ray||acb,"McCallum, Ray",17,2017-10-01,2018-01-21,19.057843137254903,7.705882352941177
acb,mcgrath donnie||acb,"McGrath, Donnie",14,2017-10-01,2018-01-21,16.898809523809526,1.5714285714285714
acb,mckissic s.||acb,"McKissic, S.",10,2017-10-01,2017-12-03,17.494999999999997,5.9
acb,mcrae jordan||acb,"McRae, Jordan",1,2017-10-29,2017-10-29,17.6,5.0
acb,mekel gal||acb,"Mekel, Gal",17,2017-10-01,2018-01-21,19.345098039215685,7.764705882352941
acb,mendia borja||acb,"Mendia, Borja",9,2017-11-12,2018-01-21,0.5462962962962963,-0.4444444444444444
acb,michalak michal||acb,"Michalak, Michal",17,2017-09-30,2018-01-21,10.36470588235294,1.411764705882353
acb,milosavljevic d.||acb,"Milosavljevic, D.",12,2017-10-01,2018-01-21,13.948611111111111,2.0833333333333335
acb,moerman adrien||acb,"Moerman, Adrien",15,2017-09-29,2018-01-07,21.54111111111111,9.933333333333334
