competition,player_name_norm,rows,written_variants,variants
euroleague,anderson james,19,1,"Anderson, James"
euroleague,antetokounmpo thanasis,19,1,"Antetokounmpo, Thanasis"
euroleague,auguste zach,19,1,"Auguste, Zach"
euroleague,bjelica milko,19,1,"Bjelica, Milko"
euroleague,campazzo facundo,19,1,"Campazzo, Facundo"
euroleague,carroll jaycee,19,1,"Carroll, Jaycee"
euroleague,causeur fabien,19,1,"Causeur, Fabien"
euroleague,clyburn will,19,1,"Clyburn, will"
euroleague,datome luigi,19,1,"Datome, Luigi"
euroleague,davies brandon,19,1,"Davies, Brandon"
euroleague,de colo nando,19,1,"De Colo, Nando"
euroleague,denmon marcus,19,1,"Denmon, Marcus"
euroleague,diaz alberto,19,1,"Diaz, Alberto"
euroleague,dibartolomeo john,19,1,"Dibartolomeo, John"
euroleague,doncic luka,19,1,"Doncic, Luka"
euroleague,doornekamp aaron,19,1,"Doornekamp, Aaron"
euroleague,dunston bryant,19,1,"Dunston, Bryant"
euroleague,feldeine james,19,1,"Feldeine, James"
euroleague,gabriel kenny,19,1,"Gabriel, Kenny"
euroleague,gist james,19,1,"Gist, James"
euroleague,guduric marko,19,1,"Guduric, Marko"
euroleague,guler sinan,19,1,"Guler, Sinan"
euroleague,hanga adam,19,1,"Hanga, Adam"
euroleague,heckmann patrick,19,1,"Heckmann, Patrick"
euroleague,heurtel thomas,19,1,"Heurtel, Thomas"
euroleague,higgins cory,19,1,"Higgins, Cory"
euroleague,hines kyle,19,1,"Hines, Kyle"
euroleague,huertas marcelinho,19,1,"Huertas, Marcelinho"
euroleague,jackson pierre,19,1,"Jackson, Pierre"
euroleague,jankunas paulius,19,1,"Jankunas, Paulius"
euroleague,janning matt,19,1,"Janning, Matt"
euroleague,jenkins charles,19,1,"Jenkins, Charles"
euroleague,jovanovic nikola,19,1,"Jovanovic, Nikola"
euroleague,kalnietis mantas,19,1,"Kalnietis, Mantas"
euroleague,kane deandre,19,1,"Kane, Deandre"
euroleague,kavaliauskas antanas,19,1,"Kavaliauskas, Antanas"
euroleague,koponen petteri,19,1,"Koponen, Petteri"
euroleague,kurbanov nikita,19,1,"Kurbanov, Nikita"
euroleague,lazic branko,19,1,"Lazic, Branko"
euroleague,lekavicius lukas,19,1,"Lekavicius, Lukas"
euroleague,lessort mathias,19,1,"Lessort, Mathias"
euroleague,lo maodo,19,1,"Lo, Maodo"
euroleague,maciulis jonas,19,1,"Maciulis, Jonas"
euroleague,mbaye amath,19,1,"M'baye, Amath"
euroleague,mccallum ray,19,1,"Mccallum, Ray"
euroleague,mccollum errick,19,1,"Mccollum, Errick"
euroleague,melli nicolo,19,1,"Melli, Nicolo"
euroleague,micic vasilije,19,1,"Micic, Vasilije"
euroleague,micov vladimir,19,1,"Micov, Vladimir"
euroleague,milaknis arturas,19,1,"Milaknis, Arturas"
euroleague,moerman adrien,19,1,"Moerman, Adrien"
euroleague,monia sergey,19,1,"Monia, Sergey"
euroleague,motum brock,19,1,"Motum, Brock"
euroleague,navarro juan carlos,19,1,"Navarro, Juan Carlos"
euroleague,nikolic aleksej,19,1,"Nikolic, Aleksej"
euroleague,oriola pierre,19,1,"Oriola, Pierre"
euroleague,pangos kevin,19,1,"Pangos, Kevin"
