column,dtype,missing_rows,missing_pct,unique_values,origin
Number,int64,0,0.0,62,BAwiR
GS,int64,0,0.0,2,BAwiR
Player,object,0,0.0,771,BAwiR
MP,object,0,0.0,2307,BAwiR
PTS,int64,0,0.0,36,BAwiR
TwoP,int64,0,0.0,14,BAwiR
TwoPA,int64,0,0.0,19,BAwiR
TwoPPerc,float64,0,0.0,102,BAwiR
ThreeP,int64,0,0.0,11,BAwiR
ThreePA,int64,0,0.0,17,BAwiR
ThreePPerc,float64,0,0.0,66,BAwiR
FT,int64,0,0.0,15,BAwiR
FTA,int64,0,0.0,18,BAwiR
FTPerc,float64,0,0.0,69,BAwiR
TRB,int64,0,0.0,19,BAwiR
DRB,int64,0,0.0,13,BAwiR
ORB,int64,0,0.0,9,BAwiR
AST,int64,0,0.0,16,BAwiR
STL,int64,0,0.0,8,BAwiR
TOV,int64,0,0.0,9,BAwiR
Counteratt,int64,0,0.0,6,BAwiR
BLKfv,int64,0,0.0,7,BAwiR
BLKag,int64,0,0.0,6,BAwiR
Dunks,int64,0,0.0,7,BAwiR
PF,int64,0,0.0,6,BAwiR
PFrv,int64,0,0.0,13,BAwiR
PlusMinus,int64,0,0.0,71,BAwiR
PIR,int64,0,0.0,55,BAwiR
Season,object,0,0.0,2,BAwiR
Type_season,object,0,0.0,2,BAwiR
Day,object,0,0.0,36,BAwiR
Date,datetime64[ns],0,0.0,89,BAwiR
Game,object,0,0.0,449,BAwiR
GameRes,object,0,0.0,398,BAwiR
Team,object,0,0.0,50,BAwiR
GameID,int64,0,0.0,135,BAwiR
Website,object,0,0.0,449,BAwiR
CombinID,object,0,0.0,850,BAwiR
competition,object,0,0.0,3,derived
MP_min,float64,0,0.0,2080,derived
match_id,object,0,0.0,449,derived
player_name_norm,object,0,0.0,767,derived
player_id,object,0,0.0,868,derived
