feature,type,available_before_target,included_in_models
competition,categorical,True,True
3P_rate_roll10,numeric,True,True
3P_rate_roll5,numeric,True,True
AST_TOV_roll10,numeric,True,True
AST_TOV_roll5,numeric,True,True
AST_roll10,numeric,True,True
AST_roll5,numeric,True,True
DRB_roll10,numeric,True,True
DRB_roll5,numeric,True,True
FGA_roll10,numeric,True,True
FGA_roll5,numeric,True,True
FTA_roll10,numeric,True,True
FTA_roll5,numeric,True,True
FT_rate_roll10,numeric,True,True
FT_rate_roll5,numeric,True,True
MP_min_roll10,numeric,True,True
MP_min_roll5,numeric,True,True
ORB_roll10,numeric,True,True
ORB_roll5,numeric,True,True
PF_roll10,numeric,True,True
PF_roll5,numeric,True,True
PIR_roll10,numeric,True,True
PIR_roll5,numeric,True,True
PTS_roll10,numeric,True,True
PTS_roll5,numeric,True,True
STL_roll10,numeric,True,True
STL_roll5,numeric,True,True
TOV_roll10,numeric,True,True
TOV_roll5,numeric,True,True
TRB_roll10,numeric,True,True
TRB_roll5,numeric,True,True
TS_roll10,numeric,True,True
TS_roll5,numeric,True,True
eFG_roll10,numeric,True,True
eFG_roll5,numeric,True,True
rest_days_player,numeric,True,True
