model,fold,mae,rmse,r2
MLP_base_MAE,1,5.876249,7.6900153,0.09609120718782675
MLP_base_MAE,2,6.102066,7.948929,0.024900381566553647
MLP_base_MAE,3,5.6192603,7.443558,0.15007183653556144
MLP_base_MAE,4,5.843231,7.6733646,0.12493629042227354
MLP_base_MAE,5,5.350742,7.0638385,0.1948946360833227
MLP_current_MAE,1,5.7890563,7.441467,0.1536140151668025
MLP_current_MAE,2,5.9190884,7.6816173,0.08939135940556193
MLP_current_MAE,3,5.656671,7.494159,0.13835536289714231
MLP_current_MAE,4,5.8977294,7.685339,0.12216607786953404
MLP_current_MAE,5,5.22872,6.93174,0.22476455490408534
MLP_small_RLR_Huber,1,5.7711473,7.470255,0.14706066584767616
MLP_small_RLR_Huber,2,6.014218,7.8140717,0.05773259886749341
MLP_small_RLR_Huber,3,5.6008315,7.4027915,0.1593511524676089
MLP_small_RLR_Huber,4,5.781755,7.542665,0.15450155833337978
MLP_small_RLR_Huber,5,5.2746105,6.954993,0.21954671954134689
MLP_small_RLR_MAE,1,5.777223,7.4915237,0.14219711519419506
MLP_small_RLR_MAE,2,6.0050435,7.829651,0.05397743650561393
MLP_small_RLR_MAE,3,5.6244354,7.4342093,0.15220351600296633
MLP_small_RLR_MAE,4,5.7861943,7.562491,0.15006779762465483
MLP_small_RLR_MAE,5,5.2705274,6.9599724,0.21844557827480193
