model,seed,fold,train_rows,test_rows,best_epoch,seconds,mae,rmse,r2
MLP_base_MAE,42,1,4008,739,35,29.382704399999966,5.865064,7.6854224,0.09721972580882543
MLP_base_MAE,42,2,4747,647,30,26.15545320000001,6.119753,7.9602666,0.022154275298262305
MLP_base_MAE,42,3,5394,522,22,22.652434900000117,5.6469893,7.438439,0.15124188705302766
MLP_base_MAE,42,4,5916,517,28,25.719225299999835,5.8152695,7.621778,0.1367115516767866
MLP_base_MAE,42,5,6433,836,31,27.33994709999979,5.3850455,7.120127,0.18206492359552073
MLP_base_MAE,123,1,4008,739,46,26.264985599999818,5.9282446,7.7616773,0.07921607193923164
MLP_base_MAE,123,2,4747,647,27,22.177358699999786,6.0885715,7.8837805,0.04085525708898918
MLP_base_MAE,123,3,5394,522,22,21.358559300000252,5.606479,7.456419,0.14713359098213963
MLP_base_MAE,123,4,5916,517,24,23.21233260000008,5.8156867,7.6442175,0.13162076894825403
MLP_base_MAE,123,5,6433,836,22,22.60719160000008,5.3748317,7.085035,0.19010770490918072
MLP_base_MAE,2026,1,4008,739,32,23.09978379999984,5.8354373,7.6229463,0.11183782381542318
MLP_base_MAE,2026,2,4747,647,17,21.063876900000196,6.0978737,8.00274,0.01169161231240945
MLP_base_MAE,2026,3,5394,522,24,22.363655299999664,5.6043124,7.435817,0.15184003157151704
MLP_base_MAE,2026,4,5916,517,23,21.80203369999981,5.898737,7.7540984,0.10647655064177997
MLP_base_MAE,2026,5,6433,836,22,23.7032564000001,5.2923484,6.986353,0.21251127974526662
MLP_small_RLR_MAE,42,1,4008,739,38,23.77874819999988,5.7730384,7.5040765,0.13932126934301803
MLP_small_RLR_MAE,42,2,4747,647,40,24.63163080000004,6.006854,7.8131433,0.05796582916878734
MLP_small_RLR_MAE,42,3,5394,522,29,23.847413899999992,5.647647,7.4486313,0.14891431387194298
MLP_small_RLR_MAE,42,4,5916,517,34,25.417852999999923,5.818788,7.5913353,0.1435941463008258
MLP_small_RLR_MAE,42,5,6433,836,27,21.63913739999998,5.2647266,6.9729156,0.21553757859042333
MLP_small_RLR_MAE,123,1,4008,739,50,25.17666730000019,5.7889423,7.487672,0.1430802765206165
MLP_small_RLR_MAE,123,2,4747,647,32,20.944735200000196,5.974527,7.826547,0.054730623924829525
MLP_small_RLR_MAE,123,3,5394,522,26,19.910802100000183,5.604932,7.413938,0.1568239014253323
MLP_small_RLR_MAE,123,4,5916,517,35,23.928543600000012,5.7411017,7.508127,0.1622652830595055
MLP_small_RLR_MAE,123,5,6433,836,41,26.822264800000085,5.266385,6.948938,0.2209233913938482
MLP_small_RLR_MAE,2026,1,4008,739,43,23.216155799999797,5.7696886,7.4828224,0.14418979971895063
MLP_small_RLR_MAE,2026,2,4747,647,48,26.041643900000054,6.0337496,7.849262,0.04923585642322492
MLP_small_RLR_MAE,2026,3,5394,522,31,21.7419746999999,5.620728,7.4400578,0.1508723327116237
MLP_small_RLR_MAE,2026,4,5916,517,29,22.24368510000022,5.7986937,7.588011,0.1443439635136332
MLP_small_RLR_MAE,2026,5,6433,836,47,29.8013019,5.280471,6.9580636,0.21887576484013427
MLP_small_RLR_Huber,42,1,4008,739,65,32.20742070000006,5.7780833,7.4788003,0.14510954175440094
MLP_small_RLR_Huber,42,2,4747,647,56,31.35764760000029,6.049153,7.848205,0.04949193430570353
MLP_small_RLR_Huber,42,3,5394,522,36,26.897471700000096,5.586502,7.4036174,0.15916975865838223
MLP_small_RLR_Huber,42,4,5916,517,30,23.521384400000443,5.8072376,7.5709023,0.14819803175858026
MLP_small_RLR_Huber,42,5,6433,836,27,23.792593200000283,5.2714353,6.9754663,0.21496361697983835
MLP_small_RLR_Huber,123,1,4008,739,56,31.066653400000177,5.7733126,7.456932,0.1501016999022894
MLP_small_RLR_Huber,123,2,4747,647,50,30.54747589999988,5.9861064,7.791867,0.063089446735213
MLP_small_RLR_Huber,123,3,5394,522,25,24.793046100000083,5.603685,7.4271665,0.15381232635785114
MLP_small_RLR_Huber,123,4,5916,517,35,31.549517299999934,5.730353,7.471091,0.1705096049269449
MLP_small_RLR_Huber,123,5,6433,836,32,29.563592499999686,5.2435746,6.907447,0.23019910387688414
MLP_small_RLR_Huber,2026,1,4008,739,46,30.649590200000148,5.7620454,7.4750323,0.14597075588633812
MLP_small_RLR_Huber,2026,2,4747,647,65,38.29884680000032,6.0073953,7.802143,0.06061641556156372
MLP_small_RLR_Huber,2026,3,5394,522,31,26.520623599999908,5.6123075,7.377589,0.1650713723865933
MLP_small_RLR_Huber,2026,4,5916,517,33,29.495408200000384,5.8076735,7.586002,0.1447970383146142
MLP_small_RLR_Huber,2026,5,6433,836,55,42.595152699999744,5.308822,6.982066,0.2134774377673182
MLP_current_MAE,42,1,4008,739,12,16.004799200000434,5.7553535,7.4081826,0.16117783594701895
MLP_current_MAE,42,2,4747,647,9,16.838755200000378,5.933817,7.729335,0.07806700596603
MLP_current_MAE,42,3,5394,522,7,14.417091599999821,5.7363133,7.5994906,0.11409047672245731
MLP_current_MAE,42,4,5916,517,35,39.08485920000021,5.8577724,7.626531,0.13563450411890898
MLP_current_MAE,42,5,6433,836,21,30.798915300000317,5.231563,6.956798,0.21915990923542716
MLP_current_MAE,123,1,4008,739,16,19.388376200000494,5.830534,7.44833,0.15206144535010802
MLP_current_MAE,123,2,4747,647,22,24.712631899999906,5.9055676,7.633307,0.10083250756615969
MLP_current_MAE,123,3,5394,522,27,26.44987399999991,5.5649924,7.380701,0.1643668721628727
MLP_current_MAE,123,4,5916,517,23,24.616126599999916,5.872152,7.6361427,0.13345454435521042
MLP_current_MAE,123,5,6433,836,14,19.963196799999423,5.2142506,6.8969417,0.2325388296874521
MLP_current_MAE,2026,1,4008,739,10,13.43215180000061,5.781282,7.467887,0.14760276420328056
MLP_current_MAE,2026,2,4747,647,15,17.308116100000007,5.9178805,7.68221,0.08927456468449613
MLP_current_MAE,2026,3,5394,522,16,18.851977799999986,5.668708,7.502286,0.1366087398060969
MLP_current_MAE,2026,4,5916,517,36,34.25655280000046,5.963264,7.793343,0.09740918513448271
MLP_current_MAE,2026,5,6433,836,11,17.06206629999997,5.240348,6.941479,0.22259492578937679
