model,seed,mae,rmse,r2,seconds,best_epoch
MLP_base_MAE,42,5.766424,7.565207,0.11787847268648455,26.249952979999943,29.2
MLP_base_MAE,123,5.762763,7.566226,0.11778667877355904,23.124085560000005,28.2
MLP_base_MAE,2026,5.745742,7.5603905,0.11887145961727925,22.406521219999924,23.6
MLP_current_MAE,42,5.702964,7.464067,0.1416259463979685,23.428884100000232,16.8
MLP_current_MAE,123,5.6774993,7.3990846,0.1566508398243606,23.02604109999993,20.4
MLP_current_MAE,2026,5.7142963,7.4774413,0.13869803592354663,20.18217296000021,17.6
MLP_small_RLR_Huber,42,5.698482,7.4553986,0.14338657669138105,27.555303520000233,42.8
MLP_small_RLR_Huber,123,5.6674066,7.410901,0.1535424363598365,29.504057039999953,39.6
MLP_small_RLR_Huber,2026,5.699649,7.4445662,0.1459866039832855,33.5119243000001,46.0
MLP_small_RLR_MAE,42,5.702211,7.46602,0.14106662745499948,23.862956659999963,33.6
MLP_small_RLR_MAE,123,5.6751776,7.4370446,0.1475646952648264,23.356602600000134,36.8
MLP_small_RLR_MAE,2026,5.700666,7.4636436,0.14150354344151334,24.608952279999993,39.6
