feature,role,available_before_target
MP_min,sequence_timestep,True
PIR,sequence_timestep,True
PTS,sequence_timestep,True
AST,sequence_timestep,True
TOV,sequence_timestep,True
TRB,sequence_timestep,True
ORB,sequence_timestep,True
DRB,sequence_timestep,True
STL,sequence_timestep,True
PF,sequence_timestep,True
FGA,sequence_timestep,True
FTA,sequence_timestep,True
eFG,sequence_timestep,True
TS,sequence_timestep,True
FT_rate,sequence_timestep,True
3P_rate,sequence_timestep,True
AST_TOV,sequence_timestep,True
competition_one_hot,static,True
rest_days_player,static,True
