model,fold,mae,rmse,r2
Lasso,1,5.794441643284658,7.25330145250556,0.195885248720705
ElasticNet,1,5.795259533667271,7.253489887189488,0.1958434677253299
Lasso,2,5.895218571964544,7.4738586017917905,0.1380047485879264
ElasticNet,2,5.897995866040229,7.47439067109372,0.1378820121109285
Lasso,3,5.677385518786674,7.162807477912649,0.2129778708964084
ElasticNet,3,5.679116090145329,7.164316480652733,0.2126462289663537
Lasso,4,5.794043683188104,7.400058761850331,0.1862075683873058
ElasticNet,4,5.798220552821348,7.40283001388111,0.1855979391177692
Lasso,5,5.356071248451537,6.812128486321382,0.2512980275036577
ElasticNet,5,5.355253460569622,6.810435944879721,0.2516700262682314
MLP_small_RLR_Huber,1,5.7711471,7.470254866666667,0.14706066584767613
MLP_small_RLR_Huber,2,6.014218233333334,7.814071666666667,0.0577325988674934
MLP_small_RLR_Huber,3,5.600831500000001,7.402790966666667,0.15935115246760886
MLP_small_RLR_Huber,4,5.7817547000000005,7.542665100000001,0.15450155833337978
MLP_small_RLR_Huber,5,5.274610633333333,6.9549931,0.21954671954134686
GRU,1,5.746809482574463,7.3108673095703125,0.18306963913498198
GRU,2,5.873294353485107,7.600066661834717,0.10864515008553884
GRU,3,5.6019768714904785,7.381289958953857,0.16421927519061616
GRU,4,5.780660152435303,7.519237518310547,0.15976797881530538
GRU,5,5.29252815246582,6.951059341430664,0.22039755946807357
LSTM,1,5.745715618133545,7.315992832183838,0.18192396498145721
LSTM,2,5.8672404289245605,7.572010517120361,0.11518508811404853
LSTM,3,5.5886101722717285,7.332679748535156,0.1751975086838273
LSTM,4,5.780656814575195,7.52800989151001,0.15781208136092337
LSTM,5,5.262915134429932,6.892379283905029,0.23354554624061985
