model,seed,fold,train_rows,test_rows,best_epoch,seconds,mae,rmse,r2
LSTM,42,1,4008,739,14,20.87074120000034,5.759586,7.328066,0.17922288334965586
GRU,42,1,4008,739,16,21.465630300000157,5.7374353,7.3022184,0.18500261914425797
LSTM,42,2,4747,647,17,25.040585300000203,5.9090447,7.625606,0.10264590599855539
GRU,42,2,4747,647,7,17.45753430000059,5.8889604,7.598403,0.10903669642982794
LSTM,42,3,5394,522,8,18.201557299999877,5.581935,7.301192,0.18227378662674976
GRU,42,3,5394,522,8,18.07149870000012,5.590465,7.3586226,0.16935879660868092
LSTM,42,4,5916,517,8,18.7023078000002,5.752081,7.491082,0.16606450747170654
GRU,42,4,5916,517,9,20.564819300000636,5.780815,7.5032196,0.1633600434304523
LSTM,42,5,6433,836,10,21.720939599999838,5.2567077,6.897971,0.23230964466146287
GRU,42,5,6433,836,11,24.47472409999955,5.323347,7.029742,0.20269942153660025
LSTM,123,1,4008,739,10,17.678671300000133,5.749125,7.311286,0.18297731183918908
GRU,123,1,4008,739,10,17.976087300000472,5.756162,7.3230414,0.18034796009596266
LSTM,123,2,4747,647,10,18.189567299999908,5.817396,7.5170255,0.12801873561455646
GRU,123,2,4747,647,16,24.234224199999517,5.858276,7.5890703,0.1112240668553367
LSTM,123,3,5394,522,13,22.01860310000029,5.576107,7.3542128,0.17035416603728448
GRU,123,3,5394,522,13,23.477703100000326,5.6055713,7.36068,0.1688943098095349
LSTM,123,4,5916,517,11,21.585978999999497,5.7931924,7.5515265,0.15255252927134733
GRU,123,4,5916,517,11,22.56466029999956,5.798076,7.564922,0.14954321267613913
LSTM,123,5,6433,836,6,17.02502469999945,5.2866316,6.916967,0.22807572711612623
GRU,123,5,6433,836,9,21.676929100000052,5.2810993,6.9091554,0.22981812645745725
LSTM,2026,1,4008,739,17,22.972921999999926,5.728435,7.308626,0.18357169975552667
GRU,2026,1,4008,739,16,22.641570200000388,5.746831,7.307343,0.1838583381647253
LSTM,2026,2,4747,647,18,25.376232300000083,5.8752794,7.5734005,0.11489062272903372
GRU,2026,2,4747,647,8,17.205020100000183,5.872646,7.6127257,0.10567468697145188
LSTM,2026,3,5394,522,7,16.321390400000382,5.6077895,7.3426337,0.17296457338744764
GRU,2026,3,5394,522,5,15.133662499999446,5.609895,7.4245663,0.15440471915363263
LSTM,2026,4,5916,517,15,27.97686539999995,5.7966976,7.5414205,0.1548192073397162
GRU,2026,4,5916,517,8,20.988031399999272,5.763089,7.489572,0.16640068033932476
LSTM,2026,5,6433,836,8,21.31678969999939,5.245407,6.8622,0.24025126694427046
GRU,2026,5,6433,836,8,21.877584599999864,5.2731385,6.914281,0.22867513041016319
