model,seed,fold,epoch,train_mae,validation_mae
LSTM,42,1,1,8.380430221557617,8.107584953308105
LSTM,42,1,2,6.997910022735596,5.764841079711914
LSTM,42,1,3,5.9565887451171875,5.657188892364502
LSTM,42,1,4,5.851306915283203,5.591665267944336
LSTM,42,1,5,5.763178825378418,5.5691752433776855
LSTM,42,1,6,5.774497985839844,5.536101341247559
LSTM,42,1,7,5.733298301696777,5.528679370880127
LSTM,42,1,8,5.72122859954834,5.519314765930176
LSTM,42,1,9,5.722658157348633,5.513775825500488
LSTM,42,1,10,5.716385841369629,5.5037617683410645
LSTM,42,1,11,5.66378927230835,5.49445104598999
LSTM,42,1,12,5.677250385284424,5.496325492858887
LSTM,42,1,13,5.6493682861328125,5.490278720855713
LSTM,42,1,14,5.617024898529053,5.485391139984131
LSTM,42,1,15,5.6089253425598145,5.485725402832031
LSTM,42,1,16,5.627631664276123,5.49962043762207
LSTM,42,1,17,5.591413974761963,5.503798007965088
LSTM,42,1,18,5.5980329513549805,5.504703044891357
LSTM,42,1,19,5.589684009552002,5.519626140594482
GRU,42,1,1,8.029187202453613,7.362308025360107
GRU,42,1,2,6.416971683502197,5.73793363571167
GRU,42,1,3,5.915615081787109,5.6645283699035645
GRU,42,1,4,5.81514835357666,5.609884262084961
GRU,42,1,5,5.780598163604736,5.579108238220215
GRU,42,1,6,5.770412921905518,5.567623615264893
GRU,42,1,7,5.737487316131592,5.557542324066162
GRU,42,1,8,5.719393730163574,5.531698703765869
GRU,42,1,9,5.7017364501953125,5.5291361808776855
GRU,42,1,10,5.732282638549805,5.5260467529296875
GRU,42,1,11,5.681487560272217,5.509374618530273
GRU,42,1,12,5.68862247467041,5.51045560836792
GRU,42,1,13,5.655517578125,5.507145881652832
GRU,42,1,14,5.630850315093994,5.4987616539001465
GRU,42,1,15,5.628598213195801,5.5082197189331055
GRU,42,1,16,5.645264625549316,5.496917247772217
GRU,42,1,17,5.601917743682861,5.501795291900635
GRU,42,1,18,5.610101222991943,5.513396263122559
GRU,42,1,19,5.630202293395996,5.514868259429932
GRU,42,1,20,5.578033447265625,5.519185543060303
GRU,42,1,21,5.557302951812744,5.521768093109131
LSTM,42,2,1,7.8478779792785645,6.298913955688477
LSTM,42,2,2,6.096342086791992,5.879557132720947
LSTM,42,2,3,5.861752510070801,5.8398966789245605
LSTM,42,2,4,5.826627254486084,5.827245235443115
LSTM,42,2,5,5.770686149597168,5.804429054260254
LSTM,42,2,6,5.752154350280762,5.7863030433654785
LSTM,42,2,7,5.711915493011475,5.763977527618408
LSTM,42,2,8,5.68104362487793,5.759603977203369
LSTM,42,2,9,5.670310974121094,5.76643705368042
LSTM,42,2,10,5.66710090637207,5.772185325622559
LSTM,42,2,11,5.6163177490234375,5.759206771850586
LSTM,42,2,12,5.622441291809082,5.754217147827148
LSTM,42,2,13,5.618947505950928,5.742125511169434
LSTM,42,2,14,5.612939834594727,5.738074779510498
LSTM,42,2,15,5.577462196350098,5.753103733062744
LSTM,42,2,16,5.585438251495361,5.7383646965026855
LSTM,42,2,17,5.601724624633789,5.723169326782227
LSTM,42,2,18,5.600305080413818,5.752080917358398
LSTM,42,2,19,5.581853866577148,5.725546360015869
LSTM,42,2,20,5.548920154571533,5.748828411102295
LSTM,42,2,21,5.555851459503174,5.750704288482666
LSTM,42,2,22,5.53617525100708,5.778482913970947
GRU,42,2,1,7.869349002838135,6.429940700531006
GRU,42,2,2,6.050083637237549,5.819995880126953
GRU,42,2,3,5.806829929351807,5.767538547515869
GRU,42,2,4,5.7993483543396,5.788917064666748
GRU,42,2,5,5.752425670623779,5.773319721221924
GRU,42,2,6,5.721962928771973,5.752862453460693
GRU,42,2,7,5.69357442855835,5.740055561065674
GRU,42,2,8,5.6473588943481445,5.744943618774414
GRU,42,2,9,5.647616863250732,5.74478816986084
GRU,42,2,10,5.652036666870117,5.752119064331055
GRU,42,2,11,5.602381706237793,5.754341125488281
GRU,42,2,12,5.601111888885498,5.759786128997803
LSTM,42,3,1,8.039566040039062,6.598194599151611
LSTM,42,3,2,6.145349025726318,5.8799662590026855
LSTM,42,3,3,5.8628830909729,5.868722915649414
LSTM,42,3,4,5.797846794128418,5.878166198730469
LSTM,42,3,5,5.770544052124023,5.8463921546936035
LSTM,42,3,6,5.690443515777588,5.828879356384277
LSTM,42,3,7,5.705073356628418,5.818172931671143
LSTM,42,3,8,5.69418478012085,5.795199394226074
LSTM,42,3,9,5.664764404296875,5.800081253051758
LSTM,42,3,10,5.6529622077941895,5.818985462188721
LSTM,42,3,11,5.601536750793457,5.80242919921875
LSTM,42,3,12,5.653590679168701,5.797754764556885
LSTM,42,3,13,5.60202169418335,5.822179794311523
GRU,42,3,1,7.587751388549805,6.034951210021973
GRU,42,3,2,5.949638366699219,5.851944446563721
GRU,42,3,3,5.817081451416016,5.841311454772949
GRU,42,3,4,5.752241611480713,5.832186222076416
GRU,42,3,5,5.757649898529053,5.8454790115356445
GRU,42,3,6,5.672281742095947,5.814316749572754
GRU,42,3,7,5.664021015167236,5.817285537719727
GRU,42,3,8,5.6703877449035645,5.805422782897949
GRU,42,3,9,5.667827606201172,5.840296268463135
GRU,42,3,10,5.648879528045654,5.8192219734191895
GRU,42,3,11,5.605196952819824,5.8207526206970215
GRU,42,3,12,5.621260643005371,5.853261470794678
GRU,42,3,13,5.59489107131958,5.859430313110352
LSTM,42,4,1,7.5754499435424805,5.799450874328613
LSTM,42,4,2,5.920835494995117,5.701098442077637
LSTM,42,4,3,5.842752933502197,5.661476135253906
LSTM,42,4,4,5.769042015075684,5.653906345367432
LSTM,42,4,5,5.771230220794678,5.644345283508301
LSTM,42,4,6,5.751370429992676,5.643228054046631
LSTM,42,4,7,5.718993186950684,5.644460678100586
LSTM,42,4,8,5.6852521896362305,5.640639781951904
LSTM,42,4,9,5.685783386230469,5.642548084259033
LSTM,42,4,10,5.653561115264893,5.66061544418335
LSTM,42,4,11,5.644974708557129,5.656288146972656
LSTM,42,4,12,5.617915153503418,5.656414031982422
LSTM,42,4,13,5.6646504402160645,5.660523414611816
GRU,42,4,1,7.581265926361084,5.897694110870361
GRU,42,4,2,5.906581401824951,5.6981611251831055
GRU,42,4,3,5.793432235717773,5.649803638458252
GRU,42,4,4,5.7464680671691895,5.638874053955078
GRU,42,4,5,5.757472038269043,5.629642486572266
GRU,42,4,6,5.737976551055908,5.627315521240234
GRU,42,4,7,5.712527275085449,5.626878261566162
GRU,42,4,8,5.701878070831299,5.627671718597412
GRU,42,4,9,5.687955379486084,5.623939037322998
GRU,42,4,10,5.655662536621094,5.634393692016602
GRU,42,4,11,5.6510491371154785,5.6301188468933105
GRU,42,4,12,5.63513708114624,5.635939121246338
GRU,42,4,13,5.672886371612549,5.639668941497803
GRU,42,4,14,5.617857933044434,5.62666654586792
LSTM,42,5,1,8.74613094329834,8.539538383483887
LSTM,42,5,2,7.754908561706543,6.654390811920166
LSTM,42,5,3,6.442840576171875,6.039834022521973
LSTM,42,5,4,6.099632740020752,5.903730392456055
LSTM,42,5,5,5.987678527832031,5.840630531311035
LSTM,42,5,6,5.90576696395874,5.808173179626465
LSTM,42,5,7,5.898393154144287,5.7883782386779785
LSTM,42,5,8,5.876723289489746,5.786060333251953
LSTM,42,5,9,5.87070894241333,5.784445762634277
LSTM,42,5,10,5.852926254272461,5.759260177612305
LSTM,42,5,11,5.831108093261719,5.769156455993652
LSTM,42,5,12,5.875626087188721,5.792665481567383
LSTM,42,5,13,5.9127702713012695,5.781542778015137
LSTM,42,5,14,5.810235023498535,5.774318218231201
LSTM,42,5,15,5.820624351501465,5.774333477020264
GRU,42,5,1,8.79773235321045,8.577741622924805
GRU,42,5,2,7.86579704284668,6.799170017242432
GRU,42,5,3,6.4414262771606445,6.044525146484375
GRU,42,5,4,6.0692853927612305,5.881631374359131
GRU,42,5,5,5.969941139221191,5.842527389526367
GRU,42,5,6,5.897930145263672,5.820662498474121
GRU,42,5,7,5.883228302001953,5.8015217781066895
GRU,42,5,8,5.853146553039551,5.815783977508545
GRU,42,5,9,5.855757713317871,5.810763835906982
GRU,42,5,10,5.834712028503418,5.787980556488037
