model,feature,feature_scale,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_rank_mean,positive_folds,negative_folds,zero_folds,folds,sign_consistency
ElasticNet,PTS_roll5,standardized_numeric,-1.9668133844528621,0.1081122984414705,1.9668133844528621,1.6,0,5,0,5,1.0
ElasticNet,PTS_roll10,standardized_numeric,-0.6083705692533712,0.19409770357675654,0.6083705692533712,9.0,0,5,0,5,1.0
ElasticNet,3P_rate_roll5,standardized_numeric,-0.5961503891090707,0.09303204707890454,0.5961503891090707,7.6,0,5,0,5,1.0
ElasticNet,TS_roll5,standardized_numeric,-0.4797050183322211,0.1254429152316078,0.4797050183322211,10.8,0,5,0,5,1.0
ElasticNet,FT_rate_roll5,standardized_numeric,-0.44955592663457206,0.06880450522380079,0.44955592663457206,11.6,0,5,0,5,1.0
ElasticNet,STL_roll5,standardized_numeric,-0.4450207249409324,0.06127696821388782,0.4450207249409324,11.6,0,5,0,5,1.0
ElasticNet,FTA_roll10,standardized_numeric,-0.38875979960902357,0.05699271020391299,0.38875979960902357,14.4,0,5,0,5,1.0
ElasticNet,eFG_roll5,standardized_numeric,0.3760462160800163,0.09118112086131533,0.3760462160800163,14.0,5,0,0,5,1.0
ElasticNet,TS_roll10,standardized_numeric,0.4832667799360853,0.06960212729187001,0.4832667799360853,11.2,5,0,0,5,1.0
ElasticNet,MP_min_roll5,standardized_numeric,0.5401021434024692,0.07154840114485267,0.5401021434024692,9.0,5,0,0,5,1.0
ElasticNet,TOV_roll5,standardized_numeric,0.7129601916885747,0.05208678456371101,0.7129601916885747,6.4,5,0,0,5,1.0
ElasticNet,FTA_roll5,standardized_numeric,1.122435204895634,0.05400597290137729,1.122435204895634,4.6,5,0,0,5,1.0
ElasticNet,PIR_roll10,standardized_numeric,1.1894951629079542,0.1975564431571637,1.1894951629079542,4.4,5,0,0,5,1.0
ElasticNet,PIR_roll5,standardized_numeric,1.9054652065636173,0.09404830077176235,1.9054652065636173,2.6,5,0,0,5,1.0
ElasticNet,FGA_roll5,standardized_numeric,1.9648191594941138,0.09465223227253963,1.9648191594941138,1.8,5,0,0,5,1.0
