competition,feature,importance_mae_mean,importance_mae_between_fold_std,positive_folds,folds
acb,PTS_roll5,0.382461146839958,0.09432375408416115,5,5
acb,FGA_roll5,0.3587421957485712,0.12950717606702075,5,5
acb,PIR_roll5,0.3440586263875772,0.1596157334775565,5,5
acb,PIR_roll10,0.21054154973441133,0.1352869455233159,5,5
acb,FTA_roll5,0.13700199146218597,0.08778477931691978,5,5
eurocup,FGA_roll5,0.5540247862820306,0.20470122633563897,5,5
eurocup,PIR_roll5,0.4632985765554062,0.10124153613476884,5,5
eurocup,PTS_roll5,0.37715511828657583,0.1277920845850571,5,5
eurocup,PIR_roll10,0.32926013755287675,0.12794028762198592,5,5
eurocup,FTA_roll5,0.21157245346976916,0.02803883172249773,5,5
euroleague,FGA_roll5,0.5164342532816705,0.13997699499461905,5,5
euroleague,PIR_roll5,0.4668877604701045,0.031182529738302493,5,5
euroleague,PTS_roll5,0.3735528419706108,0.12562519266375055,5,5
euroleague,PIR_roll10,0.29964879425655433,0.12209876460999074,5,5
euroleague,FTA_roll5,0.20224108202011176,0.10561850950475893,5,5
