competition,feature,importance_mae_mean,importance_mae_between_fold_std,positive_folds,folds
ALL,STL_roll5,0.009899103102280087,0.00812792954307855,4,5
ALL,ORB_roll10,0.010140409414747894,0.0028842015951980587,5,5
ALL,FGA_roll10,0.01372812071518691,0.019510318641614417,4,5
ALL,STL_roll10,0.014151736937701359,0.0062728276552013965,5,5
ALL,PTS_roll10,0.03125046320013567,0.05000998125213837,3,5
ALL,TS_roll10,0.03291944054415872,0.012266672439293821,5,5
ALL,TS_roll5,0.03307049802979833,0.015175921474128386,5,5
ALL,3P_rate_roll5,0.03783959185783736,0.016244371045641692,5,5
ALL,MP_min_roll5,0.04722738038260942,0.017377806434760737,5,5
ALL,TOV_roll5,0.09401204256505394,0.03408894245276092,5,5
ALL,FTA_roll5,0.1735094788860128,0.06206683264164389,5,5
ALL,PIR_roll10,0.24745381808248706,0.09748528784464724,5,5
ALL,PIR_roll5,0.3898418557251244,0.07348657398795555,5,5
ALL,PTS_roll5,0.39553740043135194,0.07323556566149828,5,5
ALL,FGA_roll5,0.4085295979865391,0.11990109658357556,5,5
