competition,feature,importance_mae_mean,importance_mae_between_fold_std,positive_folds,folds,coefficient_mean,coefficient_std,sign_consistency,coefficient_rank,permutation_rank,mean_rank
ALL,FGA_roll5,0.4085295979865391,0.11990109658357556,5,5,1.9648191594941138,0.09465223227253963,1.0,2.0,1.0,1.5
ALL,PTS_roll5,0.39553740043135194,0.07323556566149828,5,5,-1.9668133844528621,0.1081122984414705,1.0,1.0,2.0,1.5
ALL,PIR_roll5,0.3898418557251244,0.07348657398795555,5,5,1.9054652065636173,0.09404830077176235,1.0,3.0,3.0,3.0
ALL,PIR_roll10,0.24745381808248706,0.09748528784464724,5,5,1.1894951629079542,0.1975564431571637,1.0,4.0,4.0,4.0
ALL,FTA_roll5,0.1735094788860128,0.06206683264164389,5,5,1.122435204895634,0.05400597290137729,1.0,5.0,5.0,5.0
ALL,TOV_roll5,0.09401204256505394,0.03408894245276092,5,5,0.7129601916885747,0.05208678456371101,1.0,6.0,6.0,6.0
ALL,MP_min_roll5,0.04722738038260942,0.017377806434760737,5,5,0.5401021434024692,0.07154840114485267,1.0,9.0,7.0,8.0
ALL,3P_rate_roll5,0.03783959185783736,0.016244371045641692,5,5,-0.5961503891090707,0.09303204707890454,1.0,8.0,8.0,8.0
ALL,PTS_roll10,0.03125046320013567,0.05000998125213837,3,5,-0.6083705692533712,0.19409770357675654,1.0,7.0,11.0,9.0
ALL,TS_roll5,0.03307049802979833,0.015175921474128386,5,5,-0.4797050183322211,0.1254429152316078,1.0,11.0,9.0,10.0
ALL,TS_roll10,0.03291944054415872,0.012266672439293821,5,5,0.4832667799360853,0.06960212729187001,1.0,10.0,10.0,10.0
ALL,STL_roll10,0.014151736937701359,0.0062728276552013965,5,5,0.21847182057204578,0.0531996028488018,1.0,16.0,12.0,14.0
ALL,STL_roll5,0.009899103102280087,0.00812792954307855,4,5,-0.4450207249409324,0.06127696821388782,1.0,13.0,15.0,14.0
ALL,FGA_roll10,0.01372812071518691,0.019510318641614417,4,5,0.1923655009092402,0.15718466423032612,0.8,17.0,13.0,15.0
ALL,eFG_roll5,0.008616106498438008,0.015325782245052943,4,5,0.3760462160800163,0.09118112086131533,1.0,15.0,16.0,15.5
ALL,FT_rate_roll5,0.005447817521408922,0.023028378621227006,2,5,-0.44955592663457206,0.06880450522380079,1.0,12.0,19.0,15.5
ALL,ORB_roll10,0.010140409414747894,0.0028842015951980587,5,5,0.18122361085835983,0.05241432113521913,1.0,20.0,14.0,17.0
ALL,FT_rate_roll10,0.008055335354560498,0.006914965331141632,4,5,0.18804105306813867,0.032593441002314046,1.0,18.0,18.0,18.0
ALL,PF_roll10,0.008588019470524628,0.004928121914521927,5,5,0.18233092515267627,0.0692187670546545,1.0,19.0,17.0,18.0
ALL,FTA_roll10,0.0025512416753083397,0.024794171049265727,3,5,-0.38875979960902357,0.05699271020391299,1.0,14.0,24.0,19.0
ALL,3P_rate_roll10,0.0032241386160271187,0.005168811518122036,4,5,0.17795110187529536,0.033940390036110886,1.0,21.0,22.0,21.5
ALL,eFG_roll10,0.0049010889446594414,0.004695082571178238,4,5,-0.10863746554404692,0.048595206994041226,1.0,26.0,20.0,23.0
ALL,rest_days_player,0.0031711631424102644,0.004032184371207226,4,5,-0.11807441911416319,0.01649876634222244,1.0,25.0,23.0,24.0
ALL,PF_roll5,0.00404341983672893,0.005444709941411413,5,5,0.09935539349510429,0.059192801027241365,1.0,28.0,21.0,24.5
ALL,AST_roll5,0.0019031949276887162,0.0034226502796885325,4,5,-0.13199049216547418,0.11051770305128893,0.8,24.0,25.0,24.5
ALL,MP_min_roll10,-0.0012219069178246403,0.010775667757698493,2,5,-0.17560922040114318,0.06463761958228367,1.0,22.0,33.0,27.5
ALL,AST_TOV_roll5,-0.00027723292997819713,0.004652326632076452,2,5,0.06320053359661196,0.10643482947998503,0.8,27.0,30.0,28.5
ALL,TRB_roll10,0.0014327186858305652,0.004403303167739552,2,5,-0.05743758787004801,0.09765869499964844,0.6,32.0,26.0,29.0
ALL,TOV_roll10,-0.005570064495925423,0.010235429690096382,1,5,-0.16025845730347074,0.07518123313038812,1.0,23.0,36.0,29.5
ALL,ORB_roll5,-0.0005907949013461433,0.0014972709789785766,1,5,-0.0925441404551485,0.034112712454034154,1.0,29.0,31.0,30.0
ALL,AST_TOV_roll10,-0.0002535539263777764,0.00590961155349967,3,5,0.08376199682893619,0.05121999020153728,1.0,31.0,29.0,30.0
ALL,DRB_roll10,0.0008153102531463929,0.00485534056388985,2,5,0.012900785776744536,0.08630400889256727,0.4,33.0,27.0,30.0
ALL,AST_roll10,0.0006743970306970937,0.001326048506057066,3,5,-0.029234810677641047,0.04447366536522584,0.6,34.0,28.0,31.0
ALL,competition,-0.0008400805270433055,0.008108857508491484,4,5,,,,,32.0,32.0
ALL,TRB_roll5,-0.0020790789756570762,0.003166766943753909,2,5,-0.08682155715989393,0.0253137408525434,1.0,30.0,35.0,32.5
ALL,DRB_roll5,-0.0015162401589822495,0.0015034063960999867,1,5,-0.031005555592743716,0.028614672895024038,0.8,35.0,34.0,34.5
