fold,competition,feature,importance_mae_mean,importance_mae_std,n_test
1,ALL,competition,0.007497799572625396,0.003212737924544572,739
1,ALL,3P_rate_roll10,0.008976718792689197,0.00736930313834174,739
1,ALL,3P_rate_roll5,0.05074900254730288,0.017485228864434366,739
1,ALL,AST_TOV_roll10,0.006891744974366532,0.0036660159883549225,739
1,ALL,AST_TOV_roll5,-0.005827140152987553,0.0047263361395191855,739
1,ALL,AST_roll10,0.0016066036792841132,0.0009621288266935496,739
1,ALL,AST_roll5,0.0030792748604937968,0.0020682481654569007,739
1,ALL,DRB_roll10,0.0038287036711624365,0.007580960942146856,739
1,ALL,DRB_roll5,7.442274825208983e-05,0.0003061033918483829,739
1,ALL,FGA_roll10,0.004064773009533696,0.0041110421713416645,739
1,ALL,FGA_roll5,0.3733686312551033,0.10443639410623391,739
1,ALL,FTA_roll10,0.009438583402500634,0.023211647333785328,739
1,ALL,FTA_roll5,0.1854508860088199,0.0420912160846725,739
1,ALL,FT_rate_roll10,0.006960035049216451,0.006189379680695313,739
1,ALL,FT_rate_roll5,0.020278817268527226,0.01500525118714185,739
1,ALL,MP_min_roll10,-0.0018020037879034946,0.007960048726666275,739
1,ALL,MP_min_roll5,0.05462986323754393,0.02818100041992894,739
1,ALL,ORB_roll10,0.009996979049588184,0.006192796468898007,739
1,ALL,ORB_roll5,0.0015099285714496701,0.004356481736484931,739
1,ALL,PF_roll10,0.012810125428033637,0.010484884126504269,739
1,ALL,PF_roll5,0.0013790167586181568,0.0014707706492986029,739
1,ALL,PIR_roll10,0.14740442627637088,0.05344972429071922,739
1,ALL,PIR_roll5,0.44376416270984065,0.08611326635932946,739
1,ALL,PTS_roll10,-0.00023078849879389906,0.017890632594269963,739
1,ALL,PTS_roll5,0.3839351664812396,0.114228347543113,739
1,ALL,STL_roll10,0.024727666297012795,0.01778640186435347,739
1,ALL,STL_roll5,0.014180957439626597,0.026849155951882035,739
1,ALL,TOV_roll10,-0.019492874866362798,0.016407995985463445,739
1,ALL,TOV_roll5,0.10524694177852592,0.024318861117913884,739
1,ALL,TRB_roll10,0.00895822318799624,0.010177585059760944,739
1,ALL,TRB_roll5,0.001249556781161587,0.003550578336047692,739
1,ALL,TS_roll10,0.04863945418418734,0.010565713020281127,739
1,ALL,TS_roll5,0.04164894952027574,0.016774542906534882,739
1,ALL,eFG_roll10,0.0002662519685914688,0.001217345121136083,739
1,ALL,eFG_roll5,0.03508830608512792,0.01305542485199993,739
1,ALL,rest_days_player,-0.0030517757570242667,0.003721397359386078,739
1,acb,competition,0.0,0.0,189
1,acb,3P_rate_roll10,0.04348796573127363,0.015713328485632255,189
1,acb,3P_rate_roll5,-0.0344937337507746,0.05414805965032994,189
1,acb,AST_TOV_roll10,0.012476726537713211,0.0026192600757125113,189
1,acb,AST_TOV_roll5,-0.02335670414013169,0.006309208071079935,189
1,acb,AST_roll10,0.0025574565575839257,0.0005891281910428189,189
1,acb,AST_roll5,0.0063016107121526945,0.0013516010043777321,189
1,acb,DRB_roll10,0.00041642769415997096,0.005503106618756815,189
1,acb,DRB_roll5,0.00016029666444659086,0.0004956475906890604,189
1,acb,FGA_roll10,0.009702651838912146,0.002007289498159269,189
1,acb,FGA_roll5,0.4405636581748695,0.04683582553080213,189
1,acb,FTA_roll10,0.06378801005568953,0.014830693316680183,189
1,acb,FTA_roll5,0.08063583686736671,0.07449312541492487,189
1,acb,FT_rate_roll10,-0.011590064925010957,0.017407639536445273,189
1,acb,FT_rate_roll5,0.07360104470334079,0.019329325486079914,189
1,acb,MP_min_roll10,-0.011772282760027864,0.00723166336675872,189
1,acb,MP_min_roll5,0.08765006051614196,0.008919891269890935,189
1,acb,ORB_roll10,-0.0128634456841052,0.020055332700462593,189
1,acb,ORB_roll5,0.010683602159659421,0.007265856290535596,189
1,acb,PF_roll10,-0.009388155097548357,0.01719335199510678,189
1,acb,PF_roll5,-0.0019620282046755476,0.003206887655077677,189
1,acb,PIR_roll10,0.10197348787776636,0.0416039608468691,189
1,acb,PIR_roll5,0.3944098004517548,0.09987636340939238,189
1,acb,PTS_roll10,0.0006194508621655715,0.012603489267448689,189
1,acb,PTS_roll5,0.39454032183776866,0.10327921704720631,189
1,acb,STL_roll10,0.04553587260417391,0.03644669180991367,189
1,acb,STL_roll5,-0.04472308117235944,0.035852699468675,189
1,acb,TOV_roll10,-0.014365584745311822,0.015459875195302652,189
1,acb,TOV_roll5,0.07974991356555723,0.03739041380261321,189
1,acb,TRB_roll10,0.022317989125842173,0.01224405311234828,189
1,acb,TRB_roll5,0.004086805134817339,0.006106348771073267,189
1,acb,TS_roll10,0.02658474982599799,0.01590915563887559,189
1,acb,TS_roll5,0.0958589284675428,0.022754397396704512,189
1,acb,eFG_roll10,0.0017301576521994376,0.003423301636932291,189
1,acb,eFG_roll5,-0.001253426937825708,0.02044818934307769,189
1,acb,rest_days_player,0.008636859722847844,0.009921545379196017,189
1,eurocup,competition,0.0,0.0,233
1,eurocup,3P_rate_roll10,-0.007169711911984855,0.014362620542425786,233
1,eurocup,3P_rate_roll5,0.07482315939009201,0.0361209076902991,233
1,eurocup,AST_TOV_roll10,0.00768260322024954,0.004032385600623249,233
1,eurocup,AST_TOV_roll5,-0.007579452882786342,0.007163780627153676,233
1,eurocup,AST_roll10,0.0018252255794710237,0.0007973815701781286,233
1,eurocup,AST_roll5,0.0037972009498449923,0.0018489285355284052,233
1,eurocup,DRB_roll10,-0.0022403133886198744,0.00594121600328223,233
1,eurocup,DRB_roll5,0.0003848994038426312,0.0002846106634467966,233
1,eurocup,FGA_roll10,0.0032095852560845017,0.001751316043738404,233
1,eurocup,FGA_roll5,0.468271295129119,0.08448232169639247,233
1,eurocup,FTA_roll10,-0.029096786510520545,0.034824928696947775,233
1,eurocup,FTA_roll5,0.2273550936954903,0.05907385316933662,233
1,eurocup,FT_rate_roll10,0.013427618010167564,0.015929514330255776,233
1,eurocup,FT_rate_roll5,0.017581246700566135,0.02630538545674747,233
1,eurocup,MP_min_roll10,0.0003457426371875627,0.005493473441930653,233
1,eurocup,MP_min_roll5,0.06621461386474489,0.037114329940559236,233
1,eurocup,ORB_roll10,0.007492675516809299,0.012223850178470871,233
1,eurocup,ORB_roll5,0.0031412876016513993,0.009045301925045324,233
1,eurocup,PF_roll10,-0.00474790343049154,0.006624724819902718,233
1,eurocup,PF_roll5,0.0003403946833159921,0.001442418196290867,233
1,eurocup,PIR_roll10,0.1965503992134689,0.048651990943979935,233
1,eurocup,PIR_roll5,0.5050353008048397,0.10035514387001716,233
1,eurocup,PTS_roll10,-0.012298943987008393,0.010495504638630653,233
1,eurocup,PTS_roll5,0.32862975347034096,0.052146707609712566,233
1,eurocup,STL_roll10,0.014198165335579205,0.01898175883252719,233
1,eurocup,STL_roll5,0.05840229467708049,0.026489832126292984,233
1,eurocup,TOV_roll10,-0.021027829676852683,0.02490086380134444,233
1,eurocup,TOV_roll5,0.12321217043897689,0.054485229793787324,233
1,eurocup,TRB_roll10,0.011926297125573627,0.010933353768818191,233
1,eurocup,TRB_roll5,0.0040804400616167415,0.004198296914971762,233
1,eurocup,TS_roll10,0.07478943420697011,0.03944884046601226,233
1,eurocup,TS_roll5,0.018799318812037315,0.03913926486793348,233
1,eurocup,eFG_roll10,-0.001680500515070804,0.007389920515649506,233
1,eurocup,eFG_roll5,0.05312629441026484,0.017455734126379675,233
1,eurocup,rest_days_player,0.0011723596724516837,0.006963238229194329,233
1,euroleague,competition,0.0,0.0,317
1,euroleague,3P_rate_roll10,-0.0019463205519924642,0.0116098008075208,317
1,euroleague,3P_rate_roll5,0.07203547284374814,0.03086157532762418,317
1,euroleague,AST_TOV_roll10,0.0014826130558006413,0.001649882582507637,317
1,euroleague,AST_TOV_roll5,0.0002132134512155659,0.002678927521420102,317
1,euroleague,AST_roll10,0.0003058418727764689,0.0006136053176066286,317
1,euroleague,AST_roll5,0.0004546654165915598,0.0012278480169535084,317
1,euroleague,DRB_roll10,0.009884258655208455,0.0020895413710764225,317
1,euroleague,DRB_roll5,3.1725800663373606e-05,0.00010977786775029966,317
1,euroleague,FGA_roll10,0.006191704368573525,0.002653960077041651,317
1,euroleague,FGA_roll5,0.40059209780197325,0.05687735801860164,317
1,euroleague,FTA_roll10,0.0034165548771772692,0.005660389923448551,317
1,euroleague,FTA_roll5,0.20947833585744285,0.02230730144496026,317
1,euroleague,FT_rate_roll10,0.00284556235126292,0.016752076787280114,317
1,euroleague,FT_rate_roll5,0.02593179755501751,0.023067414308886168,317
1,euroleague,MP_min_roll10,-0.008457791289617234,0.0036923799279133984,317
1,euroleague,MP_min_roll5,0.07956247779166362,0.01641856596616415,317
1,euroleague,ORB_roll10,0.034404704188987265,0.01290654878685913,317
1,euroleague,ORB_roll5,-0.006660149115556813,0.005820593614977902,317
1,euroleague,PF_roll10,0.030391549127613438,0.01682551132104531,317
1,euroleague,PF_roll5,0.0025334245985243697,0.001978450030827052,317
1,euroleague,PIR_roll10,0.16176914677652582,0.02595174047891802,317
1,euroleague,PIR_roll5,0.5114801638638381,0.022901215815181477,317
1,euroleague,PTS_roll10,-0.017700415501488997,0.009717040119298493,317
1,euroleague,PTS_roll5,0.3577289895652534,0.029390980251330395,317
1,euroleague,STL_roll10,-0.00022129109123092405,0.013510491100706552,317
1,euroleague,STL_roll5,0.03305884311142045,0.014253943596284171,317
1,euroleague,TOV_roll10,-0.011548213965784626,0.006507116266307474,317
1,euroleague,TOV_roll5,0.06846278254028917,0.0176361353228162,317
1,euroleague,TRB_roll10,-0.004197924677833064,0.006816375976208897,317
1,euroleague,TRB_roll5,-0.001159045851369278,0.002526642758015762,317
1,euroleague,TS_roll10,0.07484150986707476,0.0203927354343299,317
1,euroleague,TS_roll5,0.018036332405740298,0.036428683886766594,317
1,euroleague,eFG_roll10,-0.004263804137243277,0.0021166069513920897,317
1,euroleague,eFG_roll5,0.043565286245392444,0.025217639417891777,317
1,euroleague,rest_days_player,-0.0025256220563035113,0.0052472072113365145,317
2,ALL,competition,0.0005014484092022542,0.005533857748716518,647
2,ALL,3P_rate_roll10,0.007543406050611168,0.008300565076275319,647
2,ALL,3P_rate_roll5,0.034834182699453285,0.019317547285366016,647
2,ALL,AST_TOV_roll10,-0.009115289145576178,0.005978543094692493,647
2,ALL,AST_TOV_roll5,-0.001917898480436797,0.0016034897204358174,647
2,ALL,AST_roll10,0.0023114315905106153,0.001170368993463493,647
2,ALL,AST_roll5,0.004009997497011142,0.0013736508361577827,647
2,ALL,DRB_roll10,-0.0007671645644641955,0.0027508397345695234,647
2,ALL,DRB_roll5,0.0,0.0,647
2,ALL,FGA_roll10,0.008929624069003772,0.015023730007515704,647
2,ALL,FGA_roll5,0.2672642512995923,0.08826542844080713,647
2,ALL,FTA_roll10,0.026823248810599942,0.01703668922870852,647
2,ALL,FTA_roll5,0.1560448548468411,0.041404570774027205,647
2,ALL,FT_rate_roll10,0.01341858129067397,0.009877618873129474,647
2,ALL,FT_rate_roll5,-0.009970034892923252,0.019332035239191282,647
2,ALL,MP_min_roll10,0.008007470862120059,0.007055437339977106,647
2,ALL,MP_min_roll5,0.029964427224821222,0.02419309208459669,647
2,ALL,ORB_roll10,0.009665763024660023,0.0047942171589836205,647
2,ALL,ORB_roll5,-0.0005947026360987095,0.002295502047144372,647
2,ALL,PF_roll10,0.011230860129122888,0.011124635677845886,647
2,ALL,PF_roll5,0.0007188441127389921,0.0007912069373301549,647
2,ALL,PIR_roll10,0.16354820144659127,0.04552016808264214,647
