competition,feature,importance_mae_mean,importance_mae_between_fold_std,positive_folds,folds
ALL,FGA_roll5,0.4085295979865391,0.11990109658357556,5,5
ALL,PTS_roll5,0.39553740043135194,0.07323556566149828,5,5
ALL,PIR_roll5,0.3898418557251244,0.07348657398795555,5,5
ALL,PIR_roll10,0.24745381808248706,0.09748528784464724,5,5
ALL,FTA_roll5,0.1735094788860128,0.06206683264164389,5,5
ALL,TOV_roll5,0.09401204256505394,0.03408894245276092,5,5
ALL,MP_min_roll5,0.04722738038260942,0.017377806434760737,5,5
ALL,3P_rate_roll5,0.03783959185783736,0.016244371045641692,5,5
ALL,TS_roll5,0.03307049802979833,0.015175921474128386,5,5
ALL,TS_roll10,0.03291944054415872,0.012266672439293821,5,5
ALL,PTS_roll10,0.03125046320013567,0.05000998125213837,3,5
ALL,STL_roll10,0.014151736937701359,0.0062728276552013965,5,5
ALL,FGA_roll10,0.01372812071518691,0.019510318641614417,4,5
ALL,ORB_roll10,0.010140409414747894,0.0028842015951980587,5,5
ALL,STL_roll5,0.009899103102280087,0.00812792954307855,4,5
ALL,eFG_roll5,0.008616106498438008,0.015325782245052943,4,5
ALL,PF_roll10,0.008588019470524628,0.004928121914521927,5,5
ALL,FT_rate_roll10,0.008055335354560498,0.006914965331141632,4,5
ALL,FT_rate_roll5,0.005447817521408922,0.023028378621227006,2,5
ALL,eFG_roll10,0.0049010889446594414,0.004695082571178238,4,5
ALL,PF_roll5,0.00404341983672893,0.005444709941411413,5,5
ALL,3P_rate_roll10,0.0032241386160271187,0.005168811518122036,4,5
ALL,rest_days_player,0.0031711631424102644,0.004032184371207226,4,5
ALL,FTA_roll10,0.0025512416753083397,0.024794171049265727,3,5
ALL,AST_roll5,0.0019031949276887162,0.0034226502796885325,4,5
ALL,TRB_roll10,0.0014327186858305652,0.004403303167739552,2,5
ALL,DRB_roll10,0.0008153102531463929,0.00485534056388985,2,5
ALL,AST_roll10,0.0006743970306970937,0.001326048506057066,3,5
ALL,AST_TOV_roll10,-0.0002535539263777764,0.00590961155349967,3,5
ALL,AST_TOV_roll5,-0.00027723292997819713,0.004652326632076452,2,5
ALL,ORB_roll5,-0.0005907949013461433,0.0014972709789785766,1,5
ALL,competition,-0.0008400805270433055,0.008108857508491484,4,5
ALL,MP_min_roll10,-0.0012219069178246403,0.010775667757698493,2,5
ALL,DRB_roll5,-0.0015162401589822495,0.0015034063960999867,1,5
ALL,TRB_roll5,-0.0020790789756570762,0.003166766943753909,2,5
ALL,TOV_roll10,-0.005570064495925423,0.010235429690096382,1,5
acb,PTS_roll5,0.382461146839958,0.09432375408416115,5,5
acb,FGA_roll5,0.3587421957485712,0.12950717606702075,5,5
acb,PIR_roll5,0.3440586263875772,0.1596157334775565,5,5
acb,PIR_roll10,0.21054154973441133,0.1352869455233159,5,5
acb,FTA_roll5,0.13700199146218597,0.08778477931691978,5,5
acb,TOV_roll5,0.06507754089704083,0.04581503861169091,5,5
acb,TS_roll5,0.05900443979422395,0.04611449819562701,5,5
acb,MP_min_roll5,0.052419440513336614,0.037142230908145,5,5
acb,PTS_roll10,0.029902054643629477,0.04256612701225417,4,5
acb,FT_rate_roll5,0.024335278542947807,0.040864307917837676,4,5
acb,STL_roll10,0.021083425322348432,0.018075654004011333,5,5
acb,3P_rate_roll5,0.020747577328428548,0.03930665967608031,4,5
acb,FGA_roll10,0.017612486602995393,0.026142517265533453,4,5
acb,FTA_roll10,0.017311959767873263,0.03708574170005692,3,5
acb,TS_roll10,0.015349686617860242,0.03043730723868299,4,5
acb,3P_rate_roll10,0.011869344216601619,0.021003571116301894,3,5
acb,rest_days_player,0.005912585331408095,0.005231985376261041,5,5
acb,ORB_roll10,0.005674693072378502,0.01214231362845752,4,5
acb,eFG_roll10,0.00561560690890456,0.00821887040602006,4,5
acb,TRB_roll10,0.004257290100582302,0.010156370498868401,2,5
acb,ORB_roll5,0.0023565495125946966,0.004815333895577622,4,5
acb,PF_roll10,0.0023499394711663513,0.008555029875061425,3,5
acb,AST_roll10,0.001542051235741262,0.005212232075473228,4,5
acb,TOV_roll10,0.001016318279121826,0.014952701411740483,2,5
acb,AST_roll5,0.0010000749692539307,0.015709526478399755,3,5
acb,AST_TOV_roll10,9.516634073584353e-05,0.011792279701985866,3,5
acb,competition,0.0,0.0,0,5
acb,DRB_roll10,-0.00041312987821999763,0.003275164647039933,2,5
acb,TRB_roll5,-0.0005644961116326997,0.003302912644770497,2,5
acb,DRB_roll5,-0.0009309419574524469,0.00103190341583774,1,5
acb,FT_rate_roll10,-0.0010110060632781879,0.016972368625211016,3,5
acb,PF_roll5,-0.002222200851613252,0.00646607754634538,2,5
acb,AST_TOV_roll5,-0.0027469677389350268,0.014163868839566723,2,5
acb,eFG_roll5,-0.007073481749373585,0.02692505929091448,2,5
acb,MP_min_roll10,-0.007571001497130537,0.010461533981080877,2,5
acb,STL_roll5,-0.012297863992940493,0.0281110329117467,2,5
eurocup,FGA_roll5,0.5540247862820306,0.20470122633563897,5,5
eurocup,PIR_roll5,0.4632985765554062,0.10124153613476884,5,5
eurocup,PTS_roll5,0.37715511828657583,0.1277920845850571,5,5
eurocup,PIR_roll10,0.32926013755287675,0.12794028762198592,5,5
eurocup,FTA_roll5,0.21157245346976916,0.02803883172249773,5,5
eurocup,TOV_roll5,0.12081566754843442,0.03949689151348234,5,5
eurocup,MP_min_roll5,0.07189224647581141,0.02928361422205972,5,5
eurocup,3P_rate_roll5,0.04846624578120018,0.020955937998107944,5,5
eurocup,TS_roll10,0.04724100444169046,0.0339193226504666,4,5
eurocup,FGA_roll10,0.023988437876200842,0.03605891640880511,3,5
eurocup,TS_roll5,0.022589143001622815,0.03297482552733124,4,5
eurocup,STL_roll5,0.020297583252286627,0.026686635174292154,4,5
eurocup,STL_roll10,0.019028222331804834,0.012213346034701275,5,5
eurocup,ORB_roll10,0.017551329115234323,0.010178094048502702,5,5
eurocup,eFG_roll5,0.015532362746460962,0.034052780261205735,4,5
eurocup,FT_rate_roll10,0.010078914079989865,0.0029778416468314787,5,5
eurocup,PTS_roll10,0.009927721068105268,0.08006674524349629,2,5
eurocup,AST_roll5,0.009178386274939106,0.004694801557956693,5,5
eurocup,PF_roll10,0.008317142162032987,0.0075729669510178396,4,5
eurocup,PF_roll5,0.007061246503573386,0.007087206780018977,4,5
eurocup,eFG_roll10,0.00449816501743566,0.012559117939760809,1,5
eurocup,rest_days_player,0.0028640399955755314,0.003973397762775077,4,5
eurocup,AST_roll10,0.0012267606077218573,0.0023516526836320955,3,5
eurocup,TRB_roll10,0.001073866816356386,0.007139493972306602,2,5
eurocup,3P_rate_roll10,0.00017434899273180096,0.005676437019848036,3,5
eurocup,competition,0.0,0.0,0,5
eurocup,DRB_roll10,-0.00013351734713140244,0.007901607087439892,1,5
eurocup,DRB_roll5,-0.0031039553236968586,0.003708350839249138,1,5
eurocup,ORB_roll5,-0.0032925834323243213,0.006691186922056376,2,5
eurocup,AST_TOV_roll10,-0.003451083192588485,0.008161739475636842,2,5
eurocup,TRB_roll5,-0.005000988298865643,0.006407052494058556,1,5
eurocup,TOV_roll10,-0.007177572438048792,0.012943095903299309,1,5
eurocup,AST_TOV_roll5,-0.007509018911461248,0.009289260150708545,1,5
eurocup,FT_rate_roll5,-0.008277668975249739,0.028375086055659252,2,5
eurocup,MP_min_roll10,-0.009273271466428383,0.015765442020258754,2,5
eurocup,FTA_roll10,-0.01477306327092041,0.03492351309539402,1,5
euroleague,FGA_roll5,0.5164342532816705,0.13997699499461905,5,5
euroleague,PIR_roll5,0.4668877604701045,0.031182529738302493,5,5
euroleague,PTS_roll5,0.3735528419706108,0.12562519266375055,5,5
euroleague,PIR_roll10,0.29964879425655433,0.12209876460999074,5,5
euroleague,FTA_roll5,0.20224108202011176,0.10561850950475893,5,5
euroleague,TOV_roll5,0.1281740789637865,0.041352543748337994,5,5
euroleague,MP_min_roll5,0.07007969102139253,0.020774405109271137,5,5
euroleague,3P_rate_roll5,0.05176003819070666,0.05440517925846902,4,5
euroleague,TS_roll10,0.038474732436688544,0.05664299178430422,4,5
euroleague,TS_roll5,0.03278550450352519,0.026026026530436463,5,5
euroleague,PTS_roll10,0.0232647378936808,0.07629318527793999,3,5
euroleague,FT_rate_roll10,0.0191393361745374,0.014962537905327073,5,5
euroleague,eFG_roll5,0.01833691958290107,0.029637651435030343,3,5
euroleague,PF_roll10,0.016078416079922633,0.008551228622369175,5,5
euroleague,FGA_roll10,0.013497069413204022,0.017160868572129312,3,5
euroleague,PF_roll5,0.010800155457087115,0.007290841421792366,5,5
euroleague,STL_roll5,0.010773220734159174,0.025381268085448317,3,5
euroleague,ORB_roll10,0.009574323413957373,0.01641327179856089,3,5
euroleague,AST_TOV_roll5,0.00854680769815868,0.011166207187030984,4,5
euroleague,eFG_roll10,0.00645442139330374,0.008898468436916971,4,5
euroleague,FT_rate_roll5,0.0054061764277503945,0.048010878973559476,3,5
euroleague,STL_roll10,0.004856150984668304,0.010678441272750286,2,5
euroleague,rest_days_player,0.0035387144166594458,0.006626864438969291,3,5
euroleague,DRB_roll10,0.0014243440001381912,0.006751837611744524,2,5
euroleague,competition,0.0,0.0,0,5
euroleague,TRB_roll10,-0.0007834049957952869,0.002895320339065896,1,5
euroleague,AST_TOV_roll10,-0.001004764702063383,0.011959071768770922,4,5
euroleague,ORB_roll5,-0.0016580025062233974,0.005990989361074314,2,5
euroleague,DRB_roll5,-0.0019113135053983755,0.002506218763549243,1,5
euroleague,AST_roll10,-0.0020224448701855737,0.004893118863007388,3,5
euroleague,MP_min_roll10,-0.002729291675021734,0.02191266135279445,1,5
euroleague,3P_rate_roll10,-0.002751063153961546,0.018882037784579794,3,5
euroleague,TRB_roll5,-0.0030374373619659776,0.004520609781157782,0,5
euroleague,AST_roll5,-0.009641959845188026,0.012247694891301418,2,5
euroleague,FTA_roll10,-0.013570524163784228,0.031114635465471777,2,5
euroleague,TOV_roll10,-0.017257516803960444,0.005241533681512101,0,5
