model,competition,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
ElasticNet,acb,5.511855580102252,0.35234598792016686,6.904228012451666,0.413833339961213,0.1758084400320483,0.06312141957740583
ElasticNet,eurocup,6.026491326174538,0.25947979681387884,7.681093213992729,0.3646716968698504,0.1957917852490726,0.06034326658441998
ElasticNet,euroleague,5.6348998082828485,0.354222444394897,7.125981241202226,0.3562424898994364,0.21451530186930454,0.038187416840892906
GRU,acb,5.551584298969531,0.27963757160432295,7.078700019962601,0.31333452695167635,0.13321290640868907,0.05176534156028167
GRU,eurocup,5.94576444806011,0.2936083297747304,7.792903151573901,0.36498394708696613,0.17228171554093946,0.05903072265312038
GRU,euroleague,5.511586448934172,0.2614864807227011,7.23411861307483,0.33298529498566587,0.1902693608146721,0.03830328027960322
LSTM,acb,5.514705959328823,0.2894636491817322,7.032209344770324,0.34195859047945726,0.14509304806006437,0.044783053785608984
LSTM,eurocup,5.951078793328184,0.30871525162527813,7.785866626609083,0.3883394171954526,0.17327263091968545,0.0707389711650607
LSTM,euroleague,5.517598838360962,0.29100052938292487,7.212056930825912,0.3279751016772586,0.19518500278944606,0.03840959094682686
Lasso,acb,5.510166975668577,0.3511164707095493,6.903279752915397,0.41276559467866475,0.17604608960432272,0.06272014434026409
Lasso,eurocup,6.024708975505462,0.25744538279648405,7.679843190581002,0.36266069952699054,0.19606236627274692,0.05991552064638216
Lasso,euroleague,5.6333683280227715,0.3554630918459886,7.126347755673683,0.35766697148483434,0.21443602209517243,0.038459384622743835
MLP_small_RLR_Huber,acb,5.574663244940925,0.320408318094282,7.202007421321189,0.3317105028635984,0.1006125359031456,0.09163692566581182
MLP_small_RLR_Huber,eurocup,5.950506693565915,0.28032166788246454,7.8249437899971355,0.37067565586541357,0.16494773161647883,0.0691745830830464
MLP_small_RLR_Huber,euroleague,5.571804537249964,0.32044534264988833,7.328345750357674,0.3709766779766483,0.16884649331341783,0.050111488636538117
