competition,eligibility_status,indicator,mean_value
acb,excluded,minutes_mean,12.651071546323772
acb,retained,minutes_mean,18.653616831934908
eurocup,excluded,minutes_mean,14.015929565929566
eurocup,retained,minutes_mean,19.492474144789178
euroleague,excluded,minutes_mean,11.717177819083023
euroleague,retained,minutes_mean,19.021283960292582
acb,excluded,pir_mean,5.11078140454995
acb,retained,pir_mean,7.757437070938215
eurocup,excluded,pir_mean,5.82964782964783
eurocup,retained,pir_mean,8.362291169451074
euroleague,excluded,pir_mean,4.474907063197026
euroleague,retained,pir_mean,8.232758620689655
acb,excluded,observed_appearances_mean,13.852621167161226
acb,retained,observed_appearances_mean,15.99160945842868
eurocup,excluded,observed_appearances_mean,9.80999180999181
eurocup,retained,observed_appearances_mean,11.426252983293557
euroleague,excluded,observed_appearances_mean,15.04460966542751
euroleague,retained,observed_appearances_mean,17.511755485893417
