model,seed,fold,competition,n_test,mae,rmse,r2
ElasticNet,42,1,acb,189,5.640464324686935,7.128485793860399,0.15282282377147716
ElasticNet,42,1,eurocup,233,6.023978756183493,7.614553375101094,0.2075214124950575
ElasticNet,42,1,euroleague,317,5.719438447392833,7.052602550714584,0.20872438825181583
ElasticNet,42,2,acb,249,5.544318507636232,6.892379823815198,0.07707197468777893
ElasticNet,42,2,eurocup,237,6.10693530106839,7.879931164200591,0.16057761652182545
ElasticNet,42,2,euroleague,161,6.137418326542843,7.722195199080115,0.16387522872328908
ElasticNet,42,3,acb,193,5.07107662794378,6.353512666255998,0.22908937039299393
ElasticNet,42,3,eurocup,165,6.339588822149441,8.06048550348541,0.21075681628835552
ElasticNet,42,3,euroleague,164,5.730174720780818,7.10624022951416,0.19665528529817744
ElasticNet,42,4,acb,190,6.00213222453716,7.443575038916154,0.1945520462738728
ElasticNet,42,4,eurocup,166,6.041166874388133,7.751687642710312,0.11965448122427724
ElasticNet,42,4,euroleague,161,5.30708821116861,6.974027557036369,0.24281188408260213
ElasticNet,42,5,acb,340,5.3012862157071545,6.70318673941058,0.22550598503411867
ElasticNet,42,5,eurocup,163,5.620786877083231,7.0988083844662375,0.28044859971584724
ElasticNet,42,5,euroleague,333,5.280379335529141,6.7748406696659025,0.26050972299063824
GRU,42,1,acb,189,5.595605862096296,7.24137853195653,0.12577711642792744
GRU,42,1,eurocup,233,6.124352483218884,7.74155115966296,0.18086658533204858
GRU,42,1,euroleague,317,5.537606322998423,6.999433125911776,0.22061023609703168
GRU,42,2,acb,249,5.559757722108435,7.024588892533655,0.04132532650716847
GRU,42,2,eurocup,237,6.203978865109704,8.0362225954293,0.12694900064523584
GRU,42,2,euroleague,161,5.934376833527951,7.7869475386089615,0.14979425147770264
GRU,42,3,acb,193,5.309600886217616,6.726899370286753,0.13581624969928596
GRU,42,3,eurocup,165,5.899079987836363,8.056527948453363,0.21153163476471837
GRU,42,3,euroleague,164,5.610497193743902,7.33464584974382,0.1441838675206225
GRU,42,4,acb,190,6.017090163789473,7.572286795153257,0.16645615455243545
GRU,42,4,eurocup,166,5.9185560532337345,7.676285202120745,0.13669782869053615
GRU,42,4,euroleague,161,5.359963443330434,7.23608217275205,0.18483889194880865
